"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00142857142857143	0.004	0.00157142857142857	0.00228571428571429	0.00328571428571429	0.00328571428571429	0.00628571428571429	0.00142857142857143	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus"	0	0	0.0217142857142857	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea"	0	0	0.0202857142857143	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.000285714285714286	0.00171428571428571	0.00285714285714286	0.00171428571428571	0.000857142857142857	0.00171428571428571	0.00285714285714286	0.00671428571428571	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.001	0.000857142857142857	0.000857142857142857	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.00228571428571429	0.0107142857142857	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00114285714285714	0.00171428571428571	0.00128571428571429	0.00214285714285714	0.00128571428571429	0.00214285714285714	0.00214285714285714	0.00371428571428571	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000285714285714286	0.00214285714285714	0.000714285714285714	0.00257142857142857	0.000428571428571429	0.00185714285714286	0.00357142857142857	0.002	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00357142857142857	0.00328571428571429	0.00185714285714286	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000142857142857143	0.00371428571428571	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.00414285714285714	0.00185714285714286	0.000857142857142857	0.00142857142857143	0.000285714285714286	0.000571428571428571	0.000142857142857143	0.00457142857142857	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.001	0.00114285714285714	0.000285714285714286	0.001	0.00171428571428571	0.002	0.00157142857142857	0.001	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.00157142857142857	0.00114285714285714	0	0.002	0.001	0.002	0.00157142857142857	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.001	0.00157142857142857	0.00114285714285714	0.00185714285714286	0.000714285714285714	0.000571428571428571	0.000857142857142857	0.000857142857142857	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.000571428571428571	0.000714285714285714	0.000285714285714286	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.00114285714285714	0.00357142857142857	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000285714285714286	0.00128571428571429	0.000285714285714286	0.000428571428571429	0.000714285714285714	0.001	0.00171428571428571	0.00171428571428571	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.000142857142857143	0.00128571428571429	0.000142857142857143	0.001	0.000428571428571429	0.00142857142857143	0.00128571428571429	0.000142857142857143	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.000857142857142857	0.00271428571428571	0.00157142857142857	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus"	0	0	0.00657142857142857	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0	0.000428571428571429	0.00114285714285714	0.000142857142857143	0.000428571428571429	0.000714285714285714	0.000142857142857143	0.00314285714285714	0
