"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000857142857142857	0.00242857142857143	0.00342857142857143	0.00214285714285714	0.00114285714285714	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.000714285714285714	0.00228571428571429	0.00228571428571429	0.00185714285714286	0.00214285714285714	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.001	0.00428571428571429	0.001	0.000285714285714286	0.00128571428571429	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.000142857142857143	0.001	0.001	0.00185714285714286	0.00171428571428571	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000428571428571429	0.000142857142857143	0.00128571428571429	0.00185714285714286	0.00185714285714286	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.000714285714285714	0.000285714285714286	0.00128571428571429	0.000142857142857143	0.00142857142857143	0.002
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0.000714285714285714	0.00114285714285714	0.001	0.002	0	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.000857142857142857	0.000428571428571429	0.00214285714285714	0.000428571428571429	0.00128571428571429	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000142857142857143	0.000571428571428571	0.000142857142857143	0.000142857142857143	0.00314285714285714	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.000428571428571429	0.00342857142857143	0.000142857142857143	0	0.000857142857142857	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.000285714285714286	0.000142857142857143	0.00114285714285714	0.000142857142857143	0.000428571428571429	0.00228571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella"	0.000285714285714286	0.000714285714285714	0.000857142857142857	0.000428571428571429	0.00142857142857143	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0.000142857142857143	0	0.000285714285714286	0.00342857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.000285714285714286	0.000571428571428571	0.001	0.000571428571428571	0.000714285714285714	0.000428571428571429
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0.000428571428571429	0.000571428571428571	0	0	0.000714285714285714	0.00171428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.000142857142857143	0.000285714285714286	0.000428571428571429	0	0.000428571428571429	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000857142857142857	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000857142857142857	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000285714285714286	0	0.000285714285714286	0.000428571428571429	0.000428571428571429	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0	0.000428571428571429	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000285714285714286	0.000142857142857143	0.000571428571428571	0	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0.000142857142857143	0	0.000285714285714286	0.000571428571428571	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Murimonas"	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus"	0	0.000428571428571429	0.000428571428571429	0.000142857142857143	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0.000142857142857143	0	0.000142857142857143	0.000571428571428571	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__|g__Gemella"	0	0	0	0.000714285714285714	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna"	0.000142857142857143	0	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0	0	0	0.000142857142857143	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Gluceribacter"	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"	0.000142857142857143	0	0	0.000285714285714286	0.000285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0	0	0	0.000142857142857143	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella"	0	0	0.000142857142857143	0.000428571428571429	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Drancourtella"	0.000142857142857143	0	0	0.000142857142857143	0.000285714285714286	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla"	0.000285714285714286	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Jingyaoa"	0	0	0.000285714285714286	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Caproiciproducens"	0.000142857142857143	0	0	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter"	0	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter"	0	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium"	0	0	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia"	0	0	0.000142857142857143	0	0.000142857142857143	0
