"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00571428571428571	0.006	0.008	0.00628571428571429	0.011	0.0137142857142857	0.006	0.00871428571428571	0.00685714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00785714285714286	0.00442857142857143	0.0142857142857143	0.00414285714285714	0.00528571428571429	0.0112857142857143	0.009	0.00485714285714286	0.007
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.0517142857142857	0.000714285714285714	0.000714285714285714	0.00214285714285714	0.00142857142857143	0.000571428571428571	0.000571428571428571	0.00157142857142857	0.005
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0127142857142857	0.0102857142857143	0.00857142857142857	0.00385714285714286	0.00571428571428571	0.00485714285714286	0.00885714285714286	0.00257142857142857	0.006
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00214285714285714	0.00428571428571429	0.00528571428571429	0.0135714285714286	0.011	0.00642857142857143	0.00414285714285714	0.00642857142857143	0.00685714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.0128571428571429	0.00171428571428571	0.00514285714285714	0.00571428571428571	0.00271428571428571	0.00171428571428571	0.00228571428571429	0.00128571428571429	0.0247142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00328571428571429	0.00214285714285714	0.002	0.00285714285714286	0.0174285714285714	0.00385714285714286	0.00185714285714286	0.0214285714285714	0.00314285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.0207142857142857	0.00742857142857143	0.00528571428571429	0.00271428571428571	0.00657142857142857	0.003	0.00514285714285714	0.00271428571428571	0.00314285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0	0	0	0.00657142857142857	0.00542857142857143	0.0245714285714286	0.0118571428571429	0.00271428571428571	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0	0	0	0.00685714285714286	0.00514285714285714	0.0257142857142857	0.00985714285714286	0.00185714285714286	0.000142857142857143
