"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00714285714285714	0.00128571428571429	0.00128571428571429	0.00114285714285714	0.00214285714285714	0.000857142857142857	0.000857142857142857	0.001	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0	0.00142857142857143	0.00514285714285714	0.00128571428571429	0.00128571428571429	0.000571428571428571	0.00128571428571429	0.001	0.00285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00157142857142857	0.000857142857142857	0.00257142857142857	0.00114285714285714	0.001	0.00142857142857143	0.001	0.00157142857142857	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.00557142857142857	0.000428571428571429	0.000714285714285714	0.000857142857142857	0.000714285714285714	0.00171428571428571	0.00128571428571429	0.000142857142857143	0.002
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0	0	0	0.00214285714285714	0.00342857142857143	0.00357142857142857	0.000857142857142857	0.00142857142857143	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.00214285714285714	0.000571428571428571	0.000857142857142857	0.00128571428571429	0.000857142857142857	0.000571428571428571	0.000142857142857143	0.00114285714285714	0.00271428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.00142857142857143	0.000142857142857143	0.000714285714285714	0.00157142857142857	0	0.000857142857142857	0.000428571428571429	0.000428571428571429	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00671428571428571	0.000285714285714286	0	0.000714285714285714	0	0.000857142857142857	0	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.00142857142857143	0.000428571428571429	0.00157142857142857	0.000285714285714286	0.00142857142857143	0.000571428571428571	0.000714285714285714	0.00157142857142857	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0	0.000285714285714286	0.000142857142857143	0.00585714285714286	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.000142857142857143	0.000571428571428571	0.000857142857142857	0.00157142857142857	0.000285714285714286	0	0.000142857142857143	0.000428571428571429	0.00328571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.001	0.000714285714285714	0.001	0.000714285714285714	0.000857142857142857	0.000857142857142857	0.000285714285714286	0.000714285714285714	0.00114285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0.000857142857142857	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.000571428571428571	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.000285714285714286	0	0.000857142857142857	0	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.00442857142857143	0
