"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0.00171428571428571	0.001	0.00128571428571429	0.000857142857142857	0.00342857142857143	0.003	0.00114285714285714	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00314285714285714	0.00214285714285714	0.000428571428571429	0.000142857142857143	0.00371428571428571	0.00128571428571429	0.00228571428571429	0.00357142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00114285714285714	0.00214285714285714	0.002	0.000285714285714286	0.00114285714285714	0.00328571428571429	0.00328571428571429	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00228571428571429	0.00228571428571429	0.00171428571428571	0	0.00142857142857143	0.00171428571428571	0.00314285714285714	0.00285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00214285714285714	0.000857142857142857	0.001	0.000428571428571429	0.00242857142857143	0.00128571428571429	0.00471428571428571	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.00114285714285714	0.002	0.00142857142857143	0.000142857142857143	0.00157142857142857	0.002	0.00185714285714286	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.00328571428571429	0.00171428571428571	0.000285714285714286	0.000714285714285714	0.000571428571428571	0.002	0.00157142857142857	0.002
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0.000142857142857143	0.000142857142857143	0	0.00328571428571429	0.00314285714285714	0.000571428571428571	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.00257142857142857	0.00171428571428571	0.000285714285714286	0.000142857142857143	0.00114285714285714	0.001	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0.002	0.000857142857142857	0.000571428571428571	0.002
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000571428571428571	0.000142857142857143	0.000428571428571429	0	0.000714285714285714	0.00214285714285714	0.000571428571428571	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0.00171428571428571	0.000285714285714286	0.00171428571428571	0	0.00128571428571429	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.00114285714285714	0.000714285714285714	0.000285714285714286	0	0.000428571428571429	0.00128571428571429	0.000857142857142857	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0.000857142857142857	0.00128571428571429	0.000571428571428571	0	0.000714285714285714	0.000428571428571429	0.000428571428571429	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.001	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.000857142857142857	0.000571428571428571	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.000285714285714286	0	0.000142857142857143	0.00314285714285714	0.000142857142857143	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0.000714285714285714	0.000428571428571429	0.000142857142857143	0	0.001	0.000714285714285714	0.000142857142857143	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.000142857142857143	0	0.000142857142857143	0.00271428571428571	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0.000285714285714286	0.000285714285714286	0.000285714285714286	0	0.000428571428571429	0.000857142857142857	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0	0	0	0.001	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna"	0.000571428571428571	0	0	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus"	0.001	0.000428571428571429	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0.000428571428571429	0	0	0.000571428571428571	0.000285714285714286	0	0.000285714285714286	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.000142857142857143	0	0	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000285714285714286	0.000142857142857143	0	0.00114285714285714	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0	0	0	0	0	0.00157142857142857	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0.000142857142857143	0	0	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalimonas"	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Gluceribacter"	0.000285714285714286	0.000285714285714286	0	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Murimonas"	0.000142857142857143	0	0	0	0.000142857142857143	0.000428571428571429	0	0.000428571428571429
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter"	0.000428571428571429	0.000428571428571429	0	0	0.000285714285714286	0	0	0
