"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0261428571428571	0.0125714285714286	0.00871428571428571	0.00214285714285714	0.0171428571428571	0.00328571428571429	0.00514285714285714	0.00514285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00571428571428571	0.00414285714285714	0.00385714285714286	0.00414285714285714	0.0178571428571429	0.0141428571428571	0.0157142857142857	0.0117142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.00228571428571429	0.000285714285714286	0.000857142857142857	0.0615714285714286	0.002	0.000428571428571429	0.000142857142857143	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00442857142857143	0.00214285714285714	0.00128571428571429	0.0311428571428571	0.00628571428571429	0.00742857142857143	0.00414285714285714	0.009
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00514285714285714	0.00728571428571429	0.00242857142857143	0.00242857142857143	0.00685714285714286	0.00514285714285714	0.0152857142857143	0.0157142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00585714285714286	0.00742857142857143	0.00142857142857143	0.000428571428571429	0.00714285714285714	0.00471428571428571	0.0112857142857143	0.0174285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00557142857142857	0.00914285714285714	0.00471428571428571	0.00128571428571429	0.00628571428571429	0.00714285714285714	0.00742857142857143	0.00642857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.016	0.0154285714285714	0.00114285714285714	0	0.00257142857142857	0.00114285714285714	0.006	0.00528571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.005	0.00257142857142857	0.00342857142857143	0.013	0.006	0.00585714285714286	0.00171428571428571	0.00571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0.00771428571428571	0.00314285714285714	0.00242857142857143	0.000857142857142857	0.007	0.00514285714285714	0.000714285714285714	0.0107142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oryzae"	0.00242857142857143	0.00142857142857143	0.00185714285714286	0.001	0.00671428571428571	0.00771428571428571	0.00228571428571429	0.00985714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae"	0.00914285714285714	0.00214285714285714	0.001	0.00142857142857143	0.005	0.00528571428571429	0.00214285714285714	0.00628571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.002	0.00214285714285714	0.00257142857142857	0.000571428571428571	0.00457142857142857	0.00628571428571429	0.00357142857142857	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00371428571428571	0.00271428571428571	0.00528571428571429	0.00285714285714286	0.00314285714285714	0.00342857142857143	0.00428571428571429	0.00285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii"	0.00257142857142857	0.00771428571428571	0.003	0.00228571428571429	0.00142857142857143	0.00371428571428571	0.00385714285714286	0.00328571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00271428571428571	0.000142857142857143	0.000571428571428571	0.0144285714285714	0.00214285714285714	0.00214285714285714	0.00357142857142857	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0	0	0.0268571428571429	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.00285714285714286	0.002	0.000428571428571429	0.000857142857142857	0.00257142857142857	0.00185714285714286	0.00614285714285714	0.00971428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0.000142857142857143	0	0	0	0.0248571428571429	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0.000571428571428571	0	0	0.0237142857142857	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella marseillensis"	0.00185714285714286	0.00242857142857143	0.002	0.000857142857142857	0.00371428571428571	0.00314285714285714	0.00414285714285714	0.00485714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.00271428571428571	0.000285714285714286	0.00342857142857143	0.00285714285714286	0.006	0.00542857142857143	0.000714285714285714	0.00157142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara"	0.013	0.00471428571428571	0.00171428571428571	0.000428571428571429	0.00114285714285714	0.000714285714285714	0.000428571428571429	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0.00328571428571429	0.00185714285714286	0.00371428571428571	0.000142857142857143	0.00371428571428571	0.00314285714285714	0.00242857142857143	0.00314285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus"	0.00585714285714286	0.00185714285714286	0.00142857142857143	0.000428571428571429	0.002	0.00342857142857143	0.001	0.00457142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0.00585714285714286	0	0	0.0141428571428571	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0.00557142857142857	0	0	0.013	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.00157142857142857	0.00128571428571429	0.003	0.000142857142857143	0.00328571428571429	0.00285714285714286	0.00257142857142857	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00542857142857143	0.00271428571428571	0.000428571428571429	0.000285714285714286	0.00157142857142857	0.001	0.00214285714285714	0.00271428571428571
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0.00471428571428571	0	0	0.0112857142857143	0	0	0	0
