"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes"	0.594142857142857	0.746857142857143	0.791142857142857	0.129	0.633571428571429	0.566857142857143	0.674428571428571	0.465857142857143
"k__Bacteria|p__Bacteroidota"	0.340857142857143	0.232285714285714	0.183714285714286	0.294142857142857	0.298142857142857	0.355571428571429	0.278714285714286	0.496714285714286
"k__Bacteria|p__Proteobacteria"	0.024	0.0175714285714286	0.0104285714285714	0.331142857142857	0.0301428571428571	0.0578571428571429	0.0377142857142857	0.0311428571428571
"k__Bacteria|p__Actinobacteria"	0.0278571428571429	0.000428571428571429	0.00242857142857143	0.224	0.00657142857142857	0.00128571428571429	0.00385714285714286	0.00285714285714286
"k__Bacteria|p__Fusobacteria"	0.013	0.00271428571428571	0.0122857142857143	0.0184285714285714	0.0284285714285714	0.0178571428571429	0.00471428571428571	0.00257142857142857
"k__Bacteria|p__Tenericutes"	0.000142857142857143	0.000142857142857143	0	0.00328571428571429	0.00314285714285714	0.000571428571428571	0.000571428571428571	0.000857142857142857
