"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes"	0.847285714285714	0.842	0.155714285714286	0.732142857142857	0.922714285714286	0.892714285714286	0.819142857142857	0.829714285714286	0.132428571428571
"k__Bacteria|p__Bacteroidota"	0.0818571428571429	0.121	0.402428571428571	0.206857142857143	0.0652857142857143	0.0882857142857143	0.147857142857143	0.135285714285714	0.658142857142857
"k__Bacteria|p__Actinobacteria"	0.002	0.00157142857142857	0.344	0.00328571428571429	0.00557142857142857	0.00371428571428571	0.00285714285714286	0.0127142857142857	0.0722857142857143
"k__Bacteria|p__Proteobacteria"	0.0382857142857143	0.0324285714285714	0.0977142857142857	0.0575714285714286	0.00642857142857143	0.0152857142857143	0.03	0.0222857142857143	0.118571428571429
"k__Bacteria|p__Fusobacteria"	0.0305714285714286	0.003	0	0.000142857142857143	0	0	0.000142857142857143	0	0.0185714285714286
"k__Bacteria|p__Tenericutes"	0	0	0.000142857142857143	0	0	0	0	0	0
