"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.00214285714285714	0.0205714285714286	0.00285714285714286	0.01	0.0118571428571429	0.00514285714285714	0.012	0.00457142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0	0	0.0565714285714286	0	0.000428571428571429	0.00285714285714286	0.00871428571428571	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.00385714285714286	0.00357142857142857	0.000428571428571429	0.00471428571428571	0.00271428571428571	0.00157142857142857	0.0102857142857143	0.0302857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.005	0.00357142857142857	0.00228571428571429	0.007	0.0152857142857143	0.0121428571428571	0.00685714285714286	0.00428571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium perfoetens"	0.0481428571428571	0	0.000142857142857143	0.000714285714285714	0.000714285714285714	0.00342857142857143	0.00242857142857143	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00514285714285714	0.00542857142857143	0.00257142857142857	0.00828571428571429	0.00485714285714286	0.0134285714285714	0.0121428571428571	0.00357142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00114285714285714	0.0172857142857143	0.00171428571428571	0.00857142857142857	0.00857142857142857	0.00314285714285714	0.00528571428571429	0.00385714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00985714285714286	0.00585714285714286	0.000714285714285714	0.00328571428571429	0.00514285714285714	0.0115714285714286	0.00742857142857143	0.00328571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0.000857142857142857	0.00714285714285714	0.00257142857142857	0.002	0.00814285714285714	0.00557142857142857	0.00585714285714286	0.0105714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00171428571428571	0.00485714285714286	0.003	0.00385714285714286	0.0107142857142857	0.00242857142857143	0.00628571428571429	0.00857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salyersiae"	0.00528571428571429	0.001	0.000142857142857143	0.000571428571428571	0.000857142857142857	0.00457142857142857	0.00971428571428571	0.0158571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.00685714285714286	0.00357142857142857	0.00471428571428571	0.00328571428571429	0.00942857142857143	0.00728571428571429	0.00228571428571429	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.005	0.00471428571428571	0.00128571428571429	0.00514285714285714	0.00542857142857143	0.009	0.00428571428571429	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.005	0.00142857142857143	0.00171428571428571	0.002	0.00214285714285714	0.00757142857142857	0.00985714285714286	0.00414285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000714285714285714	0.000857142857142857	0.00771428571428571	0.000714285714285714	0.00114285714285714	0.000857142857142857	0.00742857142857143	0.0124285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00142857142857143	0.003	0.00257142857142857	0.004	0.00328571428571429	0.008	0.00628571428571429	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00657142857142857	0.00428571428571429	0.000571428571428571	0.005	0.00185714285714286	0.00314285714285714	0.005	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00114285714285714	0.00242857142857143	0.00128571428571429	0.00228571428571429	0.00414285714285714	0.0102857142857143	0.00142857142857143	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.00257142857142857	0.00342857142857143	0.00171428571428571	0.00385714285714286	0.00257142857142857	0.00271428571428571	0.00385714285714286	0.00314285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.000428571428571429	0	0.00128571428571429	0	0	0.000285714285714286	0.0192857142857143	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.000714285714285714	0.002	0.00257142857142857	0.00114285714285714	0.00142857142857143	0.00157142857142857	0.00142857142857143	0.0104285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00371428571428571	0.003	0.000285714285714286	0.003	0.00142857142857143	0.00342857142857143	0.00271428571428571	0.00157142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.00142857142857143	0.00214285714285714	0.002	0.000714285714285714	0.002	0.000571428571428571	0.00514285714285714	0.00471428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00228571428571429	0.00271428571428571	0.00128571428571429	0.00185714285714286	0.004	0.00228571428571429	0.00185714285714286	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0.000285714285714286	0.00142857142857143	0.00157142857142857	0.000428571428571429	0.00271428571428571	0.00271428571428571	0.00128571428571429	0.00342857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0.0134285714285714	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00257142857142857	0.00142857142857143	0.000285714285714286	0.000571428571428571	0.00171428571428571	0.00414285714285714	0.00214285714285714	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara"	0.000428571428571429	0.00257142857142857	0.000285714285714286	0.00642857142857143	0	0.000571428571428571	0.000571428571428571	0.00242857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000857142857142857	0.002	0.000142857142857143	0.000571428571428571	0.002	0.00142857142857143	0.00128571428571429	0.00471428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000285714285714286	0.00185714285714286	0.000714285714285714	0.001	0.00271428571428571	0.000714285714285714	0.000857142857142857	0.00342857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.00114285714285714	0.000571428571428571	0.00142857142857143	0	0.001	0.000285714285714286	0.00357142857142857	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0	0.00157142857142857	0.001	0.000428571428571429	0.00457142857142857	0.002	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.00228571428571429	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000857142857142857	0.00228571428571429	0.00257142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasiroggenkampii"	0	0	0	0	0.00457142857142857	0.00485714285714286	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.000571428571428571	0.00214285714285714	0.000285714285714286	0.002	0.000571428571428571	0.000285714285714286	0.00128571428571429	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.00142857142857143	0.00157142857142857	0.000285714285714286	0.00114285714285714	0.000571428571428571	0.00157142857142857	0.000714285714285714	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium samirii"	0	0.00242857142857143	0	0	0	0	0	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus niger"	0.000142857142857143	0.001	0.00171428571428571	0.000857142857142857	0.000428571428571429	0.00114285714285714	0.002	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.002	0.000142857142857143	0	0.000142857142857143	0.000571428571428571	0.00128571428571429	0.001	0.00242857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0	0.00528571428571429	0	0	0	0	0	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.000571428571428571	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.000857142857142857	0.00142857142857143	0.00242857142857143	0.000142857142857143
