"","joans14","joans21","joans29","joans41","joans44","joans49","joans51","joans56","joans57"
"joans14",0,0.550652717284033,0.527476421428938,0.595593644943281,0.582225034115873,0.627234200371609,0.653319105106035,0.641920244012356,0.302298941857517
"joans21",0.550652717284033,0,0.113765010281646,0.249105712092011,0.182112877299037,0.242457744841291,0.379852707402657,0.168418607111775,0.322031263769916
"joans29",0.527476421428938,0.113765010281646,0,0.182513009711839,0.191860197681558,0.256436110641889,0.40462325464545,0.20450269045324,0.261164632044411
"joans41",0.595593644943281,0.249105712092011,0.182513009711839,0,0.274701113589329,0.265576277646528,0.424563906194227,0.240100864985356,0.375378580857735
"joans44",0.582225034115873,0.182112877299037,0.191860197681558,0.274701113589329,0,0.0998637023367443,0.22360129547876,0.172289893815218,0.340582057379961
"joans49",0.627234200371609,0.242457744841291,0.256436110641889,0.265576277646528,0.0998637023367443,0,0.17691644774063,0.161683521913579,0.413210332447392
"joans51",0.653319105106035,0.379852707402657,0.40462325464545,0.424563906194227,0.22360129547876,0.17691644774063,0,0.308096226518763,0.475738183572127
"joans56",0.641920244012356,0.168418607111775,0.20450269045324,0.240100864985356,0.172289893815218,0.161683521913579,0.308096226518763,0,0.422985460439152
"joans57",0.302298941857517,0.322031263769916,0.261164632044411,0.375378580857735,0.340582057379961,0.413210332447392,0.475738183572127,0.422985460439152,0
