"","kubo14","kubo15","kubo21","kubo30","kubo48","kubo58"
"kubo14",0,0.572584180913372,0.620743400248353,0.661086963398943,0.663294565357696,0.728053330482892
"kubo15",0.572584180913372,0,0.554723106594929,0.669894813815562,0.622205258425827,0.725707344655287
"kubo21",0.620743400248353,0.554723106594929,0,0.615583962355673,0.643340916273549,0.698718870116771
"kubo30",0.661086963398943,0.669894813815562,0.615583962355673,0,0.669632310533651,0.686575109601076
"kubo48",0.663294565357696,0.622205258425827,0.643340916273549,0.669632310533651,0,0.644576995390777
"kubo58",0.728053330482892,0.725707344655287,0.698718870116771,0.686575109601076,0.644576995390777,0
