"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus mirabilis"	0	0	0.0981428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.0285714285714286	0.006	0.000142857142857143	0.0121428571428571	0.000428571428571429	0	0	0	0.0364285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00214285714285714	0.00542857142857143	0.0245714285714286	0.00542857142857143	0.00428571428571429	0.00271428571428571	0.00357142857142857	0.0118571428571429	0.00728571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.00842857142857143	0.011	0.00914285714285714	0.003	0.00271428571428571	0.00528571428571429	0.00385714285714286	0.0187142857142857	0.00485714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00171428571428571	0.009	0.00314285714285714	0.00885714285714286	0.00414285714285714	0.00785714285714286	0.0115714285714286	0.00828571428571429	0.00514285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00528571428571429	0.005	0.000571428571428571	0.00728571428571429	0.0115714285714286	0.00428571428571429	0.008	0.00185714285714286	0.0128571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.000285714285714286	0.00142857142857143	0.0358571428571429	0.00185714285714286	0.000571428571428571	0.003	0.00228571428571429	0.00857142857142857	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00528571428571429	0.00557142857142857	0.00285714285714286	0.00257142857142857	0.00457142857142857	0.00771428571428571	0.00771428571428571	0.0111428571428571	0.00314285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00242857142857143	0.00157142857142857	0.000714285714285714	0.00728571428571429	0.00514285714285714	0.0115714285714286	0.00842857142857143	0.00742857142857143	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.000428571428571429	0.00585714285714286	0.00185714285714286	0.00742857142857143	0.00328571428571429	0.00857142857142857	0.00842857142857143	0.00585714285714286	0.00628571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0102857142857143	0.00671428571428571	0.00142857142857143	0.00257142857142857	0.00642857142857143	0.00714285714285714	0.00757142857142857	0.00257142857142857	0.00271428571428571
