"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria"	0.804571428571429	0.762714285714286	0.897	0.760714285714286	0.213857142857143	0.668857142857143	0.787857142857143	0.764428571428571
"k__Bacteria|p__Firmicutes"	0.151714285714286	0.0854285714285714	0.079	0.0941428571428571	0.672285714285714	0.307	0.152142857142857	0.156857142857143
"k__Bacteria|p__Bacteroidota"	0.0435714285714286	0.141857142857143	0.0237142857142857	0.124857142857143	0.0778571428571429	0.0237142857142857	0.0567142857142857	0.0757142857142857
"k__Bacteria|p__Actinobacteria"	0.000142857142857143	0.01	0.000285714285714286	0.0202857142857143	0.036	0.000428571428571429	0.00328571428571429	0.003
