"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"kubo14",141,259.461538461538,46.2069539412781,233.14735655079,8.47826576854799,2.82143418258044,0.888470285714286,8.96622040506822,25.0088616503869,0.57012953650593,0.992
"kubo15",113,122.5625,6.03677199969195,127.416233479216,5.6852526711034,3.00213684512433,0.881639591836735,8.44877113485963,19.1370811954075,0.635051948401826,0.997428571428571
"kubo21",137,182.15,18.3327773253149,198.950764160856,7.89434846299048,3.05861573495594,0.894025102040816,9.43619686602718,24.1502724006579,0.621672274967431,0.993857142857143
"kubo30",159,544.857142857143,163.61102039676,305.634412552621,10.0014306854773,2.33335317284571,0.745423020408163,3.9280849415501,28.9500358748325,0.460326942423508,0.989428571428571
"kubo48",136,161.5,11.5119921114873,173.324264080247,6.90350825796212,3.01684169491774,0.890660163265306,9.14579745007701,23.93662722902,0.614095995970971,0.995142857142857
"kubo58",172,257.954545454545,29.8481118949188,269.119847370458,8.95689881175993,3.35008777325121,0.928036530612245,13.8959392662377,31.8727675854953,0.650819109829347,0.991142857142857
