"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00428571428571429	0.00471428571428571	0.00128571428571429	0.005	0.00957142857142857	0.00785714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00457142857142857	0.0117142857142857	0.002	0.00414285714285714	0.005	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.000571428571428571	0.006	0.00714285714285714	0.00385714285714286	0.0132857142857143	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.000714285714285714	0.000571428571428571	0.0264285714285714	0	0	0.00285714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00642857142857143	0.00457142857142857	0.00685714285714286	0.00214285714285714	0.00528571428571429	0.00442857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0.00442857142857143	0.00657142857142857	0	0.00357142857142857	0.00871428571428571	0.00557142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00428571428571429	0.00228571428571429	0.00771428571428571	0.00114285714285714	0.00414285714285714	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.00114285714285714	0.00457142857142857	0.009	0.00157142857142857	0.00685714285714286	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.00385714285714286	0.000142857142857143	0.00285714285714286	0.00442857142857143	0.000142857142857143	0.0102857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.0167142857142857	0.00271428571428571	0	0.000571428571428571	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00142857142857143	0.00714285714285714	0.00371428571428571	0.00242857142857143	0.001	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00271428571428571	0.005	0.00157142857142857	0.00514285714285714	0.00114285714285714	0.00257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00157142857142857	0.002	0.000571428571428571	0.00171428571428571	0.00342857142857143	0.005
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.002	0.00428571428571429	0	0	0	0.008
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas fragi"	0	0	0	0	0	0.0142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0.00157142857142857	0.000142857142857143	0.000857142857142857	0.00514285714285714	0	0.00614285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00371428571428571	0.00428571428571429	0.000571428571428571	0.00214285714285714	0	0.002
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0.00114285714285714	0.00257142857142857	0	0.000857142857142857	0.00614285714285714	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.000285714285714286	0.00142857142857143	0.00285714285714286	0.002	0.00471428571428571	0.000571428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.00142857142857143	0.00457142857142857	0	0	0.000142857142857143	0.00542857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.000285714285714286	0.00157142857142857	0.00228571428571429	0.00285714285714286	0.002	0.002
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum intestinale"	0.00171428571428571	0.00128571428571429	0.00385714285714286	0.000714285714285714	0.000428571428571429	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000571428571428571	0.002	0.000428571428571429	0.00185714285714286	0.00242857142857143	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.000857142857142857	0.00228571428571429	0.00142857142857143	0.00128571428571429	0.000142857142857143	0.001
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0.00542857142857143	0.001	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.000857142857142857	0.00257142857142857	0.00171428571428571	0	0.000142857142857143	0.00128571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus mirabilis"	0	0	0.00571428571428571	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00114285714285714	0.00271428571428571	0.000142857142857143	0.000714285714285714	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.000857142857142857	0.00171428571428571	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.000428571428571429	0.00185714285714286	0.00114285714285714	0	0	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.000285714285714286	0.00171428571428571	0.00157142857142857	0.000571428571428571	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0.000857142857142857	0.000714285714285714	0.00114285714285714	0.000142857142857143	0.000285714285714286	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium massiliamazoniense"	0	0	0	0.000714285714285714	0.00285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens"	0.000285714285714286	0.000571428571428571	0.000285714285714286	0	0.000285714285714286	0.00214285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium perfoetens"	0.000142857142857143	0.00257142857142857	0	0	0	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus"	0.000571428571428571	0.000714285714285714	0.000857142857142857	0.000714285714285714	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oricebi"	0.000428571428571429	0	0.000142857142857143	0.00114285714285714	0.000857142857142857	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix alysoides"	0.000857142857142857	0.000714285714285714	0.000857142857142857	0.000285714285714286	0	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter mediterraneus"	0.000714285714285714	0	0.00128571428571429	0.000428571428571429	0.000142857142857143	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides finegoldii"	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.000285714285714286	0.00185714285714286	0.000285714285714286	0.000428571428571429	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0	0.000714285714285714	0.000857142857142857	0.000285714285714286	0.00114285714285714	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia schinkii"	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.00157142857142857	0	0.000142857142857143
