"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00657142857142857	0.00171428571428571	0.00271428571428571	0.00571428571428571	0.00457142857142857	0.007	0.00357142857142857	0.00428571428571429	0.005
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0	0.00342857142857143	0.00685714285714286	0.005	0.00657142857142857	0.000714285714285714	0.00585714285714286	0.00185714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.00442857142857143	0.000428571428571429	0.000142857142857143	0.000857142857142857	0.00271428571428571	0.00285714285714286	0.00214285714285714	0.00585714285714286	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.00242857142857143	0.000571428571428571	0.00571428571428571	0.000857142857142857	0.000714285714285714	0.000428571428571429	0.00157142857142857	0.00742857142857143	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.00371428571428571	0.00142857142857143	0.000714285714285714	0.00114285714285714	0.00128571428571429	0.00142857142857143	0.00142857142857143	0.00528571428571429	0.002
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0.00242857142857143	0.00142857142857143	0.00342857142857143	0.003	0.00185714285714286	0.000428571428571429	0.000285714285714286	0.00285714285714286	0.00142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000571428571428571	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.00257142857142857	0.00114285714285714	0.00157142857142857	0.006	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.001	0.000857142857142857	0.000571428571428571	0.000571428571428571	0.00471428571428571	0.00385714285714286	0.000428571428571429	0.001	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00142857142857143	0.000285714285714286	0.002	0.00228571428571429	0.00128571428571429	0.000857142857142857	0.002	0.00228571428571429	0.002
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00142857142857143	0.000571428571428571	0.000857142857142857	0.00185714285714286	0.00142857142857143	0.00185714285714286	0.00328571428571429	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea"	0	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0	0.00214285714285714	0.00414285714285714	0.00514285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00471428571428571	0.000285714285714286	0.002	0.000857142857142857	0.000714285714285714	0.00157142857142857	0.000714285714285714	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000285714285714286	0.000285714285714286	0.000714285714285714	0.00214285714285714	0.00228571428571429	0.00214285714285714	0.00128571428571429	0.000714285714285714	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.00185714285714286	0.000714285714285714	0.00171428571428571	0.002	0.00114285714285714	0.000857142857142857	0.000571428571428571	0.000142857142857143	0.00228571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.000428571428571429	0.000857142857142857	0.001	0.00257142857142857	0.00128571428571429	0.000857142857142857	0.00185714285714286	0.000571428571428571	0.00171428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.00242857142857143	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.00114285714285714	0.000857142857142857	0.00271428571428571	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.001	0.000428571428571429	0.00128571428571429	0.00128571428571429	0.001	0.000714285714285714	0.00114285714285714	0.000857142857142857	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.000714285714285714	0.000285714285714286	0	0.000285714285714286	0.000857142857142857	0.001	0.000571428571428571	0.002	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.000142857142857143	0.00142857142857143	0.000285714285714286	0.000714285714285714	0.000857142857142857	0.000571428571428571	0.000714285714285714	0	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus"	0.000857142857142857	0.000571428571428571	0.00142857142857143	0.000571428571428571	0	0	0.000714285714285714	0.00114285714285714	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0	0.000285714285714286	0.000142857142857143	0.000857142857142857	0.00114285714285714	0.00128571428571429	0.000142857142857143	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0	0.000142857142857143	0.000571428571428571	0.000714285714285714	0	0.00128571428571429	0.000285714285714286	0.000714285714285714	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0.000285714285714286	0	0	0.000285714285714286	0.00142857142857143	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.00114285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.000857142857142857	0	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000714285714285714	0.001	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0	0.000285714285714286	0	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.000857142857142857	0.000142857142857143	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0	0.000285714285714286	0.000285714285714286	0.000571428571428571	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.000571428571428571	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.00142857142857143	0	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla"	0	0.000285714285714286	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0	0.000142857142857143	0.00142857142857143
