"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0.0165714285714286	0.00871428571428571	0.000857142857142857	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00228571428571429	0.00271428571428571	0.00128571428571429	0.00185714285714286	0.004	0.00228571428571429	0.00185714285714286	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.00142857142857143	0.00228571428571429	0.000857142857142857	0.000428571428571429	0.00185714285714286	0.00285714285714286	0.00557142857142857	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000428571428571429	0.00271428571428571	0.000285714285714286	0.00642857142857143	0.000428571428571429	0.000571428571428571	0.000571428571428571	0.003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00257142857142857	0.00142857142857143	0.000285714285714286	0.000571428571428571	0.00171428571428571	0.00414285714285714	0.00214285714285714	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.001	0.00214285714285714	0.000285714285714286	0.000857142857142857	0.000857142857142857	0.00385714285714286	0.000714285714285714	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000571428571428571	0.00214285714285714	0.000285714285714286	0.002	0.000571428571428571	0.000285714285714286	0.00128571428571429	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.000142857142857143	0.00114285714285714	0.00185714285714286	0.000857142857142857	0.000428571428571429	0.00114285714285714	0.002	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0	0.000714285714285714	0.000571428571428571	0	0.00128571428571429	0.003	0.000714285714285714	0.001
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas"	0	0	0.001	0	0	0	0	0.00557142857142857
