"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0691428571428571	0.110857142857143	0.220428571428571	0.226142857142857	0.401714285714286	0.311857142857143	0.356857142857143	0.0185714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.437285714285714	0.454285714285714	0.0232857142857143	0.163857142857143	0.0537142857142857	0.102571428571429	0.0201428571428571	0.436142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0724285714285714	0.151	0.0298571428571429	0.241142857142857	0.0355714285714286	0.139571428571429	0.0307142857142857	0.137285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.004	0.0115714285714286	0.300428571428571	0.0312857142857143	0.159428571428571	0.0434285714285714	0.250857142857143	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0354285714285714	0.039	0.0242857142857143	0.118571428571429	0.00871428571428571	0.0655714285714286	0.00942857142857143	0.228428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00814285714285714	0.00928571428571429	0.0644285714285714	0.0191428571428571	0.078	0.0625714285714286	0.0451428571428571	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.046	0.0425714285714286	0.00685714285714286	0.0644285714285714	0.0152857142857143	0.0501428571428571	0.0124285714285714	0.035
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0.143142857142857	0	0.0511428571428571	0	0.0677142857142857	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00171428571428571	0.00442857142857143	0.0792857142857143	0.00114285714285714	0.0654285714285714	0.00585714285714286	0.0328571428571429	0.00128571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00557142857142857	0.00271428571428571	0.0181428571428571	0.0221428571428571	0.0237142857142857	0.0648571428571429	0.0144285714285714	0.0214285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0828571428571429	0.0371428571428571	0	0.002	0.0117142857142857	0.0154285714285714	0.00357142857142857	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00428571428571429	0.0164285714285714	0.0197142857142857	0.0108571428571429	0.0278571428571429	0.00928571428571429	0.0432857142857143	0.00257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00314285714285714	0.00371428571428571	0.0224285714285714	0.0135714285714286	0.0222857142857143	0.0194285714285714	0.0418571428571429	0.00357142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.042	0.0351428571428571	0.00285714285714286	0.000714285714285714	0.000857142857142857	0.001	0.0188571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0238571428571429	0.0117142857142857	0.00485714285714286	0.016	0.00528571428571429	0.00528571428571429	0.00214285714285714	0.0137142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.0328571428571429	0.00957142857142857	0.00342857142857143	0.011	0.00157142857142857	0.00357142857142857	0.00157142857142857	0.011
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.0428571428571429	0.00142857142857143	0.000142857142857143	0	0.00114285714285714	0.00342857142857143	0.0194285714285714	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0155714285714286	0.007	0.00185714285714286	0.00614285714285714	0.004	0.0101428571428571	0.00228571428571429	0.0138571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.0125714285714286	0.00614285714285714	0.000571428571428571	0.00657142857142857	0.00114285714285714	0.00828571428571429	0.000428571428571429	0.00771428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.0115714285714286	0.00514285714285714	0.000571428571428571	0.00371428571428571	0.001	0.00785714285714286	0.000714285714285714	0.00971428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00771428571428571	0.00942857142857143	0.00128571428571429	0.00728571428571429	0.00314285714285714	0.005	0.00214285714285714	0.00328571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.00128571428571429	0.004	0.00557142857142857	0.00528571428571429	0.00228571428571429	0.015	0.00428571428571429	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.008	0.00442857142857143	0.000285714285714286	0.00814285714285714	0.00128571428571429	0.00585714285714286	0.00114285714285714	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00342857142857143	0.00271428571428571	0.000714285714285714	0.00171428571428571	0.000571428571428571	0.00371428571428571	0.000428571428571429	0.0134285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.005	0.00271428571428571	0	0.00185714285714286	0.00185714285714286	0.0105714285714286	0.000714285714285714	0.00314285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00157142857142857	0.00185714285714286	0.000428571428571429	0.005	0.000571428571428571	0.00528571428571429	0.000428571428571429	0.003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00385714285714286	0.00271428571428571	0	0.000428571428571429	0.000571428571428571	0.002	0.000285714285714286	0.00442857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000142857142857143	0.000142857142857143	0.00328571428571429	0.00285714285714286	0.00185714285714286	0.00114285714285714	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000428571428571429	0.000571428571428571	0.00128571428571429	0.00128571428571429	0.00228571428571429	0.000714285714285714	0.00257142857142857	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0	0	0.00442857142857143	0.000285714285714286	0.002	0.000285714285714286	0.00228571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.00328571428571429	0.00157142857142857	0.000428571428571429	0.000857142857142857	0.000428571428571429	0.000285714285714286	0	0.00157142857142857
