"","korra21","korra29","korra44","korra48","korra58"
"korra21",0,0.675729317901026,0.698805556624649,0.466621823254053,0.77986609698101
"korra29",0.675729317901026,0,0.837666601831994,0.717719131962589,0.713869725226366
"korra44",0.698805556624649,0.837666601831994,0,0.66541442454798,0.732117602420634
"korra48",0.466621823254053,0.717719131962589,0.66541442454798,0,0.760142961350544
"korra58",0.77986609698101,0.713869725226366,0.732117602420634,0.760142961350544,0
