"","franc19","franc22","franc44","franc45","franc47","franc48","franc49","franc56","franc68"
"franc19",0,0.665965331558838,0.812965714649445,0.68230914947404,0.546987307195476,0.697228318309167,0.753351096080263,0.773068254060667,0.653168178781738
"franc22",0.665965331558838,0,0.779555399511287,0.53620699000094,0.608047960762244,0.539836847643986,0.529798155407294,0.677261617037971,0.554583400802547
"franc44",0.812965714649445,0.779555399511287,0,0.763069157500091,0.769664276623571,0.775094823264993,0.814382038555048,0.660071786849197,0.782890286685715
"franc45",0.68230914947404,0.53620699000094,0.763069157500091,0,0.575511735222577,0.498325351345844,0.496083201458151,0.690515140102846,0.552669823404959
"franc47",0.546987307195476,0.608047960762244,0.769664276623571,0.575511735222577,0,0.587519200440827,0.592607574830114,0.769923581606989,0.58543595581659
"franc48",0.697228318309167,0.539836847643986,0.775094823264993,0.498325351345844,0.587519200440827,0,0.484245183887647,0.680794713360076,0.600186363602266
"franc49",0.753351096080263,0.529798155407294,0.814382038555048,0.496083201458151,0.592607574830114,0.484245183887647,0,0.694336058414224,0.610251793370695
"franc56",0.773068254060667,0.677261617037971,0.660071786849197,0.690515140102846,0.769923581606989,0.680794713360076,0.694336058414224,0,0.72162650625048
"franc68",0.653168178781738,0.554583400802547,0.782890286685715,0.552669823404959,0.58543595581659,0.600186363602266,0.610251793370695,0.72162650625048,0
