"","ginger14","ginger27","ginger43","ginger46","ginger49","ginger50","ginger52","ginger55","ginger66"
"ginger14",0,0.688717488351723,0.842944080751452,0.710199074402634,0.676190938142473,0.668966406327049,0.722517818897546,0.647632890551974,0.823284966599067
"ginger27",0.688717488351723,0,0.825335599926471,0.643791101669678,0.677982697470193,0.588253931905899,0.547212293625732,0.731001180354614,0.800220779018851
"ginger43",0.842944080751452,0.825335599926471,0,0.761258512806915,0.81344216250304,0.81625911225192,0.8130427683377,0.811422751394571,0.538683756342903
"ginger46",0.710199074402634,0.643791101669678,0.761258512806915,0,0.662182636689616,0.579638046757309,0.607068627971503,0.627600790231981,0.776003620221322
"ginger49",0.676190938142473,0.677982697470193,0.81344216250304,0.662182636689616,0,0.569373377081435,0.627435575687235,0.617951311647618,0.816751828016664
"ginger50",0.668966406327049,0.588253931905899,0.81625911225192,0.579638046757309,0.569373377081435,0,0.526577712529789,0.653267201230931,0.800131787459495
"ginger52",0.722517818897546,0.547212293625732,0.8130427683377,0.607068627971503,0.627435575687235,0.526577712529789,0,0.711196975020451,0.786845307557628
"ginger55",0.647632890551974,0.731001180354614,0.811422751394571,0.627600790231981,0.617951311647618,0.653267201230931,0.711196975020451,0,0.803384064707147
"ginger66",0.823284966599067,0.800220779018851,0.538683756342903,0.776003620221322,0.816751828016664,0.800131787459495,0.786845307557628,0.803384064707147,0
