"","jarjarbinks14","jarjarbinks15","jarjarbinks21","jarjarbinks29","jarjarbinks32","jarjarbinks44","jarjarbinks49","jarjarbinks68"
"jarjarbinks14",0,0.177572300376189,0.272270713787834,0.314716128963167,0.289567003579784,0.388542452928322,0.256143738640393,0.249968630171301
"jarjarbinks15",0.177572300376189,0,0.256573833143763,0.229916516757087,0.259764667587739,0.523621296133641,0.206581062041811,0.226106892343599
"jarjarbinks21",0.272270713787834,0.256573833143763,0,0.166600318798508,0.163100041718371,0.468619052224077,0.158961822714721,0.121516178181695
"jarjarbinks29",0.314716128963167,0.229916516757087,0.166600318798508,0,0.123511972574922,0.477931740146906,0.201016156100963,0.130247405419511
"jarjarbinks32",0.289567003579784,0.259764667587739,0.163100041718371,0.123511972574922,0,0.403709512339885,0.139772429810151,0.0954209076124499
"jarjarbinks44",0.388542452928322,0.523621296133641,0.468619052224077,0.477931740146906,0.403709512339885,0,0.505259579780412,0.424077682725513
"jarjarbinks49",0.256143738640393,0.206581062041811,0.158961822714721,0.201016156100963,0.139772429810151,0.505259579780412,0,0.133934381948715
"jarjarbinks68",0.249968630171301,0.226106892343599,0.121516178181695,0.130247405419511,0.0954209076124499,0.424077682725513,0.133934381948715,0
