"","ivy24","ivy29","ivy36","ivy44","ivy46","ivy47","ivy70"
"ivy24",0,0.718530714195465,0.851606531501901,0.673443701443799,0.678767165350812,0.721518608494529,0.722512336128022
"ivy29",0.718530714195465,0,0.811648235671959,0.811460817023733,0.692737626486527,0.523669801764008,0.52963092518481
"ivy36",0.851606531501901,0.811648235671959,0,0.82390699869187,0.85406969124247,0.782110801090787,0.850523859420703
"ivy44",0.673443701443799,0.811460817023733,0.82390699869187,0,0.736798821853153,0.791277109388602,0.744013319715881
"ivy46",0.678767165350812,0.692737626486527,0.85406969124247,0.736798821853153,0,0.68527472991688,0.687161024872088
"ivy47",0.721518608494529,0.523669801764008,0.782110801090787,0.791277109388602,0.68527472991688,0,0.650139684478373
"ivy70",0.722512336128022,0.52963092518481,0.850523859420703,0.744013319715881,0.687161024872088,0.650139684478373,0
