"","jarjarbinks14","jarjarbinks15","jarjarbinks21","jarjarbinks29","jarjarbinks32","jarjarbinks44","jarjarbinks49","jarjarbinks68"
"jarjarbinks14",0,0.490564526061799,0.770790046868047,0.7542084161311,0.74905426390693,0.748834609804596,0.758066191738978,0.717074260789452
"jarjarbinks15",0.490564526061799,0,0.734936340876634,0.726594093529269,0.764859821855652,0.801880931162934,0.796524494712147,0.74826275644281
"jarjarbinks21",0.770790046868047,0.734936340876634,0,0.511719676298307,0.652997659982813,0.819544341440763,0.690497337536912,0.639471742517575
"jarjarbinks29",0.7542084161311,0.726594093529269,0.511719676298307,0,0.68205181254478,0.840711804714787,0.718802212451409,0.667966159669119
"jarjarbinks32",0.74905426390693,0.764859821855652,0.652997659982813,0.68205181254478,0,0.811724084921369,0.509117016394998,0.52177864780594
"jarjarbinks44",0.748834609804596,0.801880931162934,0.819544341440763,0.840711804714787,0.811724084921369,0,0.843295797044033,0.786450555527502
"jarjarbinks49",0.758066191738978,0.796524494712147,0.690497337536912,0.718802212451409,0.509117016394998,0.843295797044033,0,0.592576364869323
"jarjarbinks68",0.717074260789452,0.74826275644281,0.639471742517575,0.667966159669119,0.52177864780594,0.786450555527502,0.592576364869323,0
