"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Firmicutes"	0.689	0.232142857142857	0.698428571428571	0.662285714285714	0.491428571428571	0.478285714285714	0.521857142857143	0.451714285714286	0.335714285714286
"k__Bacteria|p__Bacteroidota"	0.262857142857143	0.115285714285714	0.131571428571429	0.166857142857143	0.414714285714286	0.426571428571429	0.154857142857143	0.471428571428571	0.295142857142857
"k__Bacteria|p__Proteobacteria"	0.0357142857142857	0.645	0.158571428571429	0.159285714285714	0.07	0.0895714285714286	0.301142857142857	0.0558571428571429	0.357857142857143
"k__Bacteria|p__Actinobacteria"	0.01	0.00271428571428571	0.00114285714285714	0.00357142857142857	0.0154285714285714	0.00428571428571429	0.016	0.0162857142857143	0.00971428571428571
"k__Bacteria|p__Fusobacteria"	0	0.00342857142857143	0.00685714285714286	0.005	0.00657142857142857	0.000714285714285714	0.00585714285714286	0.00185714285714286	0.000142857142857143
"k__Bacteria|p__Tenericutes"	0.00242857142857143	0.00142857142857143	0.00342857142857143	0.003	0.00185714285714286	0.000428571428571429	0.000285714285714286	0.00285714285714286	0.00142857142857143
"k__Bacteria|p__Aquificae"	0	0	0	0	0	0.000142857142857143	0	0	0
