"Taxa"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.177714285714286	0.146428571428571	0.0868571428571429	0.0948571428571429	0.0815714285714286	0.141142857142857	0.279857142857143	0.00214285714285714	0.0795714285714286	0.153714285714286	0.154285714285714	0.0842857142857143	0.329285714285714	0.340857142857143	0.302714285714286	0.633857142857143	0.232285714285714	0.000285714285714286	0.195	0	0.214428571428571	0.262857142857143	0.143285714285714	0.184142857142857	0.134142857142857	0.159142857142857	0.148714285714286	0.267	0.165428571428571	0.0432857142857143	0.0638571428571429	0.183714285714286	0.302714285714286	0.145571428571429	0.0542857142857143	0.272	0.224285714285714	0.121	0.243571428571429	0.081	0.118285714285714	0.0882857142857143	0.0448571428571429	0.0431428571428571	0.189142857142857	0.158285714285714	0.141571428571429	0.205285714285714	0.294	0.531285714285714	0.186714285714286	0.0237142857142857	0.160142857142857	0.132	0.115142857142857	0.111428571428571	0.641571428571429	0.124857142857143	0.147571428571429	0.0861428571428571	0.252714285714286	0.146	0.216285714285714	0.402428571428571	0.131571428571429	0.171428571428571	0.253	0.0341428571428571	0.674571428571429	0.298285714285714	0.127571428571429	0.436428571428571	0.261142857142857	0.580571428571429	0.286714285714286	0.0998571428571429	0.205	0.282714285714286	0.078	0.458285714285714	0.166714285714286	0.340857142857143	0.298428571428571	0.206857142857143	0.355285714285714	0.0595714285714286	0.378428571428571	0.163571428571429	0.265285714285714	0.069	0.311142857142857	0.122	0.217285714285714	0.314285714285714	0.116714285714286	0.414714285714286	0.0461428571428571	0.242428571428571	0.0652857142857143	0.169571428571429	0.307	0.0594285714285714	0.426428571428571	0.185571428571429	0.0691428571428571	0.117428571428571	0.0882857142857143	0.0238571428571429	0.259	0.244857142857143	0.515428571428571	0.147857142857143	0.021	0.250857142857143	0.135285714285714	0.567857142857143	0.154857142857143	0.0548571428571429	0.268428571428571	0.0567142857142857	0.192857142857143	0.123	0.726714285714286	0.0608571428571429	0.471428571428571	0.0757142857142857	0.709142857142857	0.310428571428571	0.392142857142857	0.057	0.259714285714286	0.224714285714286	0.278714285714286	0.295285714285714	0.496714285714286	0.110714285714286	0.123857142857143	0.658	0.481714285714286	0.697285714285714	0.0331428571428571	0.115714285714286	0.182571428571429	0.0757142857142857	0.0651428571428571	0.740428571428571	0.321	0.281714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.224285714285714	0.255142857142857	0.437285714285714	0.359142857142857	0.582	0.454285714285714	0.144571428571429	0.0457142857142857	0.105428571428571	0.331285714285714	0.262142857142857	0.378285714285714	0.00857142857142857	0.265571428571429	0.139571428571429	0.0232857142857143	0.231142857142857	0.212	0.511714285714286	0.264285714285714	0.199285714285714	0.193857142857143	0.180142857142857	0.126142857142857	0.409142857142857	0.164571428571429	0.229857142857143	0.186285714285714	0.180142857142857	0.0144285714285714	0.0838571428571429	0.428714285714286	0.163857142857143	0.154142857142857	0.0284285714285714	0.163857142857143	0.338142857142857	0.366857142857143	0.256142857142857	0.402428571428571	0.262428571428571	0.243714285714286	0.285428571428571	0.132857142857143	0.351857142857143	0.114	0.00685714285714286	0.177857142857143	0.0694285714285714	0.0582857142857143	0.138142857142857	0.00257142857142857	0.0914285714285714	0.0388571428571429	0.0545714285714286	0.374571428571429	0.0225714285714286	0.00914285714285714	0.244142857142857	0.107857142857143	0.0347142857142857	0.151571428571429	0.263285714285714	0.0422857142857143	0.251857142857143	0.103142857142857	0.0941428571428571	0.204714285714286	0.0537142857142857	0.274857142857143	0.201571428571429	0.0282857142857143	0.149714285714286	0.0457142857142857	0.209571428571429	0.136571428571429	0.298857142857143	0.142714285714286	0.308142857142857	0.102571428571429	0.309428571428571	0.0862857142857143	0.164428571428571	0.217	0.184285714285714	0.367142857142857	0.294	0.181142857142857	0.305571428571429	0.094	0.109857142857143	0.173428571428571	0.166857142857143	0.187571428571429	0.217142857142857	0.0852857142857143	0.154428571428571	0.0977142857142857	0.402142857142857	0.0931428571428571	0.133857142857143	0.164571428571429	0.0554285714285714	0.268285714285714	0.0724285714285714	0.219142857142857	0.375142857142857	0.058	0.302571428571429	0.143571428571429	0.0855714285714286	0.281428571428571	0.0161428571428571	0.0392857142857143	0.346571428571429	0.166142857142857	0.181428571428571	0.145142857142857	0.178	0.0257142857142857	0.336428571428571	0.136428571428571	0.00571428571428571	0.123	0.156714285714286	0.252285714285714	0.0201428571428571	0.116428571428571	0.104142857142857	0.452857142857143	0.204142857142857	0.248285714285714	0.100857142857143	0.0517142857142857	0.0442857142857143	0.0704285714285714	0.382285714285714	0.0342857142857143	0.0727142857142857	0.0177142857142857	0.436142857142857	0.249142857142857	0.165285714285714	0.0118571428571429	0.260714285714286	0.0287142857142857	0.00242857142857143	0.248428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.148714285714286	0.0717142857142857	0.0724285714285714	0.0751428571428571	0.071	0.151	0.212	0	0.115714285714286	0.145571428571429	0.143285714285714	0.124285714285714	0.0267142857142857	0.0798571428571429	0.197571428571429	0.0298571428571429	0.219142857142857	0	0.0781428571428571	0	0.182	0.306571428571429	0.152857142857143	0.168285714285714	0.121428571428571	0.171571428571429	0.254285714285714	0.152428571428571	0.108	0.101428571428571	0.045	0.114142857142857	0.241142857142857	0.217857142857143	0.201142857142857	0.344571428571429	0.267	0.266714285714286	0.157714285714286	0.212142857142857	0.163142857142857	0.236714285714286	0.0972857142857143	0.148714285714286	0.141857142857143	0.163142857142857	0.052	0.290428571428571	0.0161428571428571	0.036	0.257285714285714	0.0391428571428571	0.191571428571429	0.049	0.0941428571428571	0.206857142857143	0.0321428571428571	0.0507142857142857	0.199428571428571	0.236428571428571	0.0585714285714286	0.198	0.125571428571429	0.0308571428571429	0.190714285714286	0.215428571428571	0.113428571428571	0.119285714285714	0.0355714285714286	0.115714285714286	0.207714285714286	0.0324285714285714	0.223571428571429	0.0904285714285714	0.303428571428571	0.124857142857143	0.0801428571428571	0.137571428571429	0.0785714285714286	0.139571428571429	0.142857142857143	0.134285714285714	0.235142857142857	0.116714285714286	0.163571428571429	0.0832857142857143	0.143571428571429	0.120571428571429	0.112857142857143	0.101285714285714	0.166	0.196857142857143	0.132571428571429	0.257857142857143	0.169571428571429	0.231285714285714	0.0418571428571429	0.148857142857143	0.0885714285714286	0.173	0.249571428571429	0.0922857142857143	0.238714285714286	0.179714285714286	0.211857142857143	0.0988571428571429	0.162285714285714	0.130428571428571	0.204571428571429	0.183857142857143	0.179142857142857	0.192714285714286	0.0524285714285714	0.153428571428571	0.158428571428571	0.103857142857143	0.172857142857143	0.065	0.178	0.0761428571428571	0.207	0.208428571428571	0.0692857142857143	0.0518571428571429	0.108714285714286	0.0575714285714286	0.0307142857142857	0.0292857142857143	0.104714285714286	0.0955714285714286	0.163142857142857	0.192	0.238571428571429	0.128285714285714	0.178571428571429	0.121428571428571	0.112	0.0408571428571429	0.122857142857143	0.0562857142857143	0.137285714285714	0.114142857142857	0.151142857142857	0.109	0.159285714285714	0.025	0.0462857142857143	0.0577142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0197142857142857	0.00442857142857143	0.00785714285714286	0.00557142857142857	0.00885714285714286	0.00942857142857143	0.00671428571428571	0.0281428571428571	0.0348571428571429	0.00571428571428571	0.00814285714285714	0.0157142857142857	0.00171428571428571	0.00557142857142857	0.0114285714285714	0.00142857142857143	0.00914285714285714	0.000142857142857143	0.006	0	0.00285714285714286	0.00871428571428571	0.0647142857142857	0.0768571428571429	0.242714285714286	0.00257142857142857	0.0545714285714286	0.00685714285714286	0.0548571428571429	0.803285714285714	0.002	0.00471428571428571	0.00728571428571429	0.02	0.604571428571429	0.0214285714285714	0.000428571428571429	0.00957142857142857	0.00457142857142857	0.0177142857142857	0.125857142857143	0.282285714285714	0.00257142857142857	0.480571428571429	0.0157142857142857	0.089	0.752428571428571	0.0117142857142857	0.00157142857142857	0.00728571428571429	0.104571428571429	0.894714285714286	0.150285714285714	0.543571428571429	0.00357142857142857	0.008	0.00142857142857143	0.738	0.0327142857142857	0.0592857142857143	0.436285714285714	0.140571428571429	0.002	0.000714285714285714	0.0135714285714286	0.338	0.0245714285714286	0.055	0.00328571428571429	0.00642857142857143	0.0357142857142857	0.00328571428571429	0.222142857142857	0.00185714285714286	0.0392857142857143	0.412142857142857	0.00628571428571429	0.0198571428571429	0.202285714285714	0.005	0.0131428571428571	0.314428571428571	0.176714285714286	0.002	0.00714285714285714	0.00585714285714286	0.0271428571428571	0.0167142857142857	0.00471428571428571	0.626857142857143	0.0242857142857143	0.00428571428571429	0.00114285714285714	0.021	0.0955714285714286	0.00928571428571429	0.002	0.0372857142857143	0.000571428571428571	0.0361428571428571	0.129142857142857	0.380428571428571	0.011	0.011	0.199142857142857	0.00471428571428571	0.00128571428571429	0.667285714285714	0.037	0.0102857142857143	0.113571428571429	0.00257142857142857	0.872285714285714	0.00928571428571429	0.006	0.0141428571428571	0.011	0.216	0.0118571428571429	0.786285714285714	0.086	0.366285714285714	0.00585714285714286	0.364857142857143	0.00942857142857143	0.0138571428571429	0.00242857142857143	0.001	0.0115714285714286	0.00628571428571429	0.00542857142857143	0.005	0.00742857142857143	0.00528571428571429	0.00642857142857143	0.146714285714286	0.00871428571428571	0.00185714285714286	0.00457142857142857	0.00371428571428571	0.00342857142857143	0.0945714285714286	0.0678571428571429	0.731857142857143	0.00828571428571429	0.00228571428571429	0.582142857142857	0.00714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.124142857142857	0.0174285714285714	0.0387142857142857	0.009	0.0795714285714286	0.0418571428571429	0.0307142857142857	0.00285714285714286	0.0207142857142857	0.0801428571428571	0.0397142857142857	0.0594285714285714	0.0112857142857143	0.0991428571428571	0.152857142857143	0.0251428571428571	0.146428571428571	0.0847142857142857	0.106428571428571	0.396857142857143	0.156571428571429	0.0845714285714286	0.256	0.32	0.000285714285714286	0.150142857142857	0.100285714285714	0.160285714285714	0.146142857142857	0.0122857142857143	0.0262857142857143	0.177	0.120285714285714	0.145428571428571	0.0262857142857143	0.0758571428571429	0.110857142857143	0.111428571428571	0.071	0.125428571428571	0.108142857142857	0.0534285714285714	0.0645714285714286	0.0688571428571429	0.113428571428571	0.146714285714286	0.00857142857142857	0.111857142857143	0.0237142857142857	0.029	0.114714285714286	0.00957142857142857	0.158285714285714	0.0581428571428571	0.0165714285714286	0.0862857142857143	0.000428571428571429	0.0124285714285714	0.0482857142857143	0.171	0.0432857142857143	0.201857142857143	0.201428571428571	0.0532857142857143	0.0384285714285714	0.0685714285714286	0.0362857142857143	0.377571428571429	0.00942857142857143	0.109428571428571	0.202714285714286	0.00957142857142857	0.0614285714285714	0.0491428571428571	0.0612857142857143	0.142285714285714	0.0768571428571429	0.202714285714286	0.218857142857143	0.0698571428571429	0.0404285714285714	0.0442857142857143	0.0508571428571429	0.289714285714286	0.106857142857143	0.313142857142857	0.0531428571428571	0.378428571428571	0.113	0.0418571428571429	0.210714285714286	0.254714285714286	0.178571428571429	0.0735714285714286	0.319142857142857	0.0404285714285714	0.00642857142857143	0.234714285714286	0.365285714285714	0.168571428571429	0.119857142857143	0.137142857142857	0.04	0.0991428571428571	0.05	0.382428571428571	0.275571428571429	0.0657142857142857	0.112428571428571	0.207428571428571	0.0567142857142857	0.227428571428571	0.0165714285714286	0.350142857142857	0.205	0.0725714285714286	0.0232857142857143	0.0597142857142857	0.114	0.0141428571428571	0.0867142857142857	0.0707142857142857	0.0102857142857143	0.0705714285714286	0.053	0.0612857142857143	0.00985714285714286	0.0251428571428571	0.0995714285714286	0.0714285714285714	0.0765714285714286	0.253142857142857	0.15	0.0688571428571429	0.0825714285714286	0.0842857142857143	0.134571428571429	0.026	0.0657142857142857	0.0332857142857143	0.243428571428571	0.203714285714286	0.148714285714286	0.0111428571428571	0.192142857142857	0.0148571428571429	0.00242857142857143	0.0742857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0712857142857143	0.108285714285714	0.176285714285714	0.123857142857143	0.114571428571429	0.104	0.285142857142857	0.00385714285714286	0.0558571428571429	0.254714285714286	0.339714285714286	0.169857142857143	0.039	0.149571428571429	0.122142857142857	0.0201428571428571	0.15	0.00942857142857143	0.093	0.0204285714285714	0.139857142857143	0.102142857142857	0.167714285714286	0.0875714285714286	0.0501428571428571	0.112571428571429	0.141428571428571	0.180142857142857	0.161285714285714	0.0238571428571429	0.0592857142857143	0.0717142857142857	0.126714285714286	0.197142857142857	0.0828571428571429	0.105	0.000857142857142857	0.0968571428571429	0.0918571428571429	0.0717142857142857	0.132857142857143	0.069	0.0394285714285714	0.068	0.127571428571429	0.147	0.0181428571428571	0.141714285714286	0.0182857142857143	0.0192857142857143	0.127285714285714	0.0277142857142857	0.150428571428571	0.0457142857142857	0.067	0.145571428571429	0.0584285714285714	0.0218571428571429	0.246428571428571	0.211428571428571	0.0418571428571429	0.118	0.101714285714286	0.0294285714285714	0.217285714285714	0.0704285714285714	0.107142857142857	0.151428571428571	0.0352857142857143	0.133142857142857	0.176857142857143	0.0351428571428571	0.0577142857142857	0.0878571428571429	0.057	0.0641428571428571	0.0734285714285714	0.134714285714286	0.0647142857142857	0.119857142857143	0.168571428571429	0.0475714285714286	0.0605714285714286	0.108142857142857	0.111571428571429	0.116428571428571	0.0202857142857143	0.116142857142857	0.0518571428571429	0.041	0.143285714285714	0.181857142857143	0.116857142857143	0.1	0.0594285714285714	0.133857142857143	0.0707142857142857	0.203857142857143	0.0662857142857143	0.293714285714286	0.0397142857142857	0.104857142857143	0.143714285714286	0.125857142857143	0.0601428571428571	0.0592857142857143	0.0791428571428571	0.0527142857142857	0.034	0.114857142857143	0.037	0.117285714285714	0.0201428571428571	0.0785714285714286	0.117142857142857	0.0214285714285714	0.144285714285714	0.0611428571428571	0.214285714285714	0.0361428571428571	0.0652857142857143	0.0607142857142857	0.0301428571428571	0.0464285714285714	0.132428571428571	0.095	0.0237142857142857	0.018	0.0747142857142857	0.0974285714285714	0.180857142857143	0.0281428571428571	0.184571428571429	0.0861428571428571	0.160142857142857	0.0755714285714286	0.0682857142857143	0.0314285714285714	0.100714285714286	0.052	0.119142857142857	0.115571428571429	0.137285714285714	0.0245714285714286	0.145	0.016	0.00842857142857143	0.122857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.202571428571429	0.00471428571428571	0.0852857142857143	0.09	0.000714285714285714	0.0371428571428571	0.0135714285714286	0.857571428571429	0.532857142857143	0	0.0231428571428571	0.111	0.232	0	0.000857142857142857	0.00314285714285714	0.000142857142857143	0.686428571428571	0	0.289	0.0835714285714286	0.00114285714285714	0.000285714285714286	0.0237142857142857	0.000714285714285714	0.219285714285714	0.057	0.0141428571428571	0.166	0	0.701571428571429	0	0.000857142857142857	0.000285714285714286	0	0.000142857142857143	0.0372857142857143	0	0.100857142857143	0.000428571428571429	0.07	0	0.457428571428571	0.0281428571428571	0.029	0.150857142857143	0.000142857142857143	0.0152857142857143	0.000285714285714286	0.000142857142857143	0.0408571428571429	0	0.0651428571428571	0.00828571428571429	0.637428571428571	0.00314285714285714	0.00971428571428571	0	0.0427142857142857	0.0671428571428571	0.0272857142857143	0.0134285714285714	0.00571428571428571	0.000428571428571429	0.127571428571429	0.000571428571428571	0.119428571428571	0.0252857142857143	0.00342857142857143	0.000285714285714286	0.0171428571428571	0.268285714285714	0.000142857142857143	0.00657142857142857	0.00128571428571429	0.00614285714285714	0.106571428571429	0.0334285714285714	0.00357142857142857	0.00728571428571429	0.122571428571429	0	0.000714285714285714	0.000142857142857143	0.0304285714285714	0.000428571428571429	0.00257142857142857	0.000714285714285714	0	0	0	0.00185714285714286	0.154285714285714	0.000142857142857143	0.00214285714285714	0.0461428571428571	0.510714285714286	0	0.000285714285714286	0.0407142857142857	0.000142857142857143	0.0422857142857143	0.0588571428571429	0.0678571428571429	0.287571428571429	0.0994285714285714	0.000857142857142857	0	0.004	0.0442857142857143	0	0.000571428571428571	0.000142857142857143	0.00242857142857143	0.000142857142857143	0.0124285714285714	0.277714285714286	0.380714285714286	0	0	0.000142857142857143	0.000571428571428571	0	0.272571428571429	0.0224285714285714	0.424857142857143	0.0397142857142857	0.421571428571429	0.0792857142857143	0.200714285714286	0.0621428571428571	0.00357142857142857	0	0.337285714285714	0.00185714285714286	0.381857142857143	0.063	0.00157142857142857	0.00171428571428571	0.00357142857142857	0.000285714285714286	0.0778571428571429	0.0531428571428571	0.0148571428571429	0.111285714285714	0.0391428571428571	0	0.00885714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0182857142857143	0.007	0.006	0.00942857142857143	0.0282857142857143	0.0208571428571429	0.00885714285714286	0.00228571428571429	0.00742857142857143	0.00457142857142857	0.00757142857142857	0.00757142857142857	0.0322857142857143	0.0175714285714286	0.0277142857142857	0.099	0.00771428571428571	0.00328571428571429	0.00685714285714286	0.0255714285714286	0.0127142857142857	0.0247142857142857	0.0317142857142857	0.013	0.028	0.0112857142857143	0.00442857142857143	0.0277142857142857	0.0158571428571429	0.00114285714285714	0.00457142857142857	0.00514285714285714	0.012	0.0161428571428571	0.000571428571428571	0.0114285714285714	0.0131428571428571	0.0228571428571429	0.0325714285714286	0.0275714285714286	0.0164285714285714	0.0128571428571429	0.00728571428571429	0.00385714285714286	0.0244285714285714	0.0241428571428571	0.0102857142857143	0.018	0.329428571428571	0.167428571428571	0.025	0.00228571428571429	0.0284285714285714	0.0291428571428571	0.004	0.009	0.0582857142857143	0.0227142857142857	0.0231428571428571	0.0452857142857143	0.0617142857142857	0.0294285714285714	0.0498571428571429	0.0965714285714286	0.0172857142857143	0.00757142857142857	0.0891428571428571	0.0108571428571429	0.0932857142857143	0.0231428571428571	0.0257142857142857	0.0694285714285714	0.0218571428571429	0.0537142857142857	0.0115714285714286	0.011	0.0532857142857143	0.0401428571428571	0.008	0.0151428571428571	0.0224285714285714	0.0188571428571429	0.01	0.0552857142857143	0.0204285714285714	0.0158571428571429	0.046	0.0184285714285714	0.0907142857142857	0.018	0.0282857142857143	0.00871428571428571	0.0211428571428571	0.0151428571428571	0.0185714285714286	0.0137142857142857	0.00228571428571429	0.0308571428571429	0.00557142857142857	0.023	0.0181428571428571	0.00957142857142857	0.0192857142857143	0.0428571428571429	0.0108571428571429	0.015	0.0131428571428571	0.00157142857142857	0.0241428571428571	0.0315714285714286	0.011	0.0268571428571429	0.000857142857142857	0.00957142857142857	0.0161428571428571	0.0261428571428571	0.0124285714285714	0.0111428571428571	0.0294285714285714	0.00157142857142857	0.0224285714285714	0.0175714285714286	0.0962857142857143	0.009	0.0228571428571429	0.009	0.0761428571428571	0.049	0.0751428571428571	0.00685714285714286	0.0105714285714286	0.0334285714285714	0.0302857142857143	0.0151428571428571	0.0227142857142857	0.00842857142857143	0.0504285714285714	0.114714285714286	0.0302857142857143	0.0702857142857143	0.00385714285714286	0.0254285714285714	0.0285714285714286	0.0177142857142857	0.0222857142857143	0.0592857142857143	0.0275714285714286	0.0545714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00771428571428571	0.380857142857143	0.0828571428571429	0.226428571428571	0.0305714285714286	0.0371428571428571	0.00328571428571429	0.03	0.0458571428571429	0.0141428571428571	0.00671428571428571	0.0461428571428571	0.308571428571429	0.013	0.000142857142857143	0	0.00271428571428571	0	0	0	0.00471428571428571	0	0.000428571428571429	0	0.00971428571428571	0.000142857142857143	0.001	0.00271428571428571	0.00142857142857143	0	0.000714285714285714	0.0122857142857143	0.002	0.0724285714285714	0	0.00371428571428571	0.000285714285714286	0.003	0.00471428571428571	0.0411428571428571	0	0.0122857142857143	0	0.00314285714285714	0.00128571428571429	0	0	0.0237142857142857	0.0184285714285714	0.00328571428571429	0.003	0	0.000714285714285714	0	0.00342857142857143	0.0227142857142857	0.169428571428571	0	0.0121428571428571	0.014	0	0	0.0135714285714286	0	0.00685714285714286	0.0138571428571429	0.108857142857143	0.000142857142857143	0.0117142857142857	0.0284285714285714	0.000142857142857143	0.00228571428571429	0	0	0.0235714285714286	0	0.00914285714285714	0.000428571428571429	0	0.0154285714285714	0.005	0.00342857142857143	0.001	0.000142857142857143	0.0178571428571429	0.00514285714285714	0.0287142857142857	0.000428571428571429	0.0425714285714286	0.00728571428571429	0	0.00142857142857143	0	0.0281428571428571	0.000285714285714286	0.00657142857142857	0.00357142857142857	0.000142857142857143	0	0.000285714285714286	0	0	0.000857142857142857	0.00942857142857143	0.00914285714285714	0.00114285714285714	0	0	0.00528571428571429	0.00585714285714286	0	0.000142857142857143	0	0.007	0	0.00557142857142857	0.00585714285714286	0.00242857142857143	0.000428571428571429	0	0.000285714285714286	0.00871428571428571	0.00257142857142857	0.000428571428571429	0.00185714285714286	0.00728571428571429	0.00357142857142857	0	0.00585714285714286	0.00457142857142857	0.0201428571428571	0.00785714285714286	0.00471428571428571	0.000142857142857143	0.00257142857142857	0	0.0197142857142857	0.0185714285714286	0.0324285714285714	0.00114285714285714	0.000714285714285714	0.000857142857142857	0.0135714285714286	0	0.0194285714285714	0.0108571428571429	0	0.014
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0.00771428571428571	0.0214285714285714	0.0402857142857143	0.143142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0.00785714285714286	0	0.134571428571429	0.127714285714286	0	0	0	0.0905714285714286	0.000142857142857143	0	0.00271428571428571	0.0178571428571429	0	0	0.0405714285714286	0	0.000142857142857143	0.293285714285714	0	0	0	0.000428571428571429	0.0514285714285714	0	0	0.0841428571428571	0.000142857142857143	0.0777142857142857	0	0	0.0635714285714286	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0.0454285714285714	0	0	0	0.0677142857142857	0.0281428571428571	0.0391428571428571	0	0	0	0	0	0	0	0	0.0614285714285714	0.000142857142857143	0.0341428571428571	0	0	0	0.00228571428571429	0	0.0542857142857143	0.00728571428571429	0.0835714285714286
