"","marshmallow24","marshmallow37","marshmallow41","marshmallow44","marshmallow49","marshmallow53","marshmallow60","marshmallow70"
"marshmallow24",0,0.780237716299296,0.769729456618605,0.740969400980839,0.785400027389006,0.756283454133281,0.740117016976485,0.837564436116375
"marshmallow37",0.780237716299296,0,0.550258254945374,0.628335740834442,0.695078348629388,0.83076694471417,0.69611633730459,0.776238292689487
"marshmallow41",0.769729456618605,0.550258254945374,0,0.640284211156554,0.665158071061075,0.80345454917074,0.727267304398229,0.732437083677903
"marshmallow44",0.740969400980839,0.628335740834442,0.640284211156554,0,0.568850085446347,0.847722484506243,0.602230405191449,0.804779422576186
"marshmallow49",0.785400027389006,0.695078348629388,0.665158071061075,0.568850085446347,0,0.827496511470723,0.681187006928028,0.851133940297444
"marshmallow53",0.756283454133281,0.83076694471417,0.80345454917074,0.847722484506243,0.827496511470723,0,0.83971585220222,0.778251714447529
"marshmallow60",0.740117016976485,0.69611633730459,0.727267304398229,0.602230405191449,0.681187006928028,0.83971585220222,0,0.887377320313861
"marshmallow70",0.837564436116375,0.776238292689487,0.732437083677903,0.804779422576186,0.851133940297444,0.778251714447529,0.887377320313861,0
