"","marshmallow24","marshmallow37","marshmallow41","marshmallow44","marshmallow49","marshmallow53","marshmallow60","marshmallow70"
"marshmallow24",0,0.483682920490017,0.453880419717168,0.376776864863569,0.434581118055224,0.396112984225001,0.385496337117881,0.454134572976452
"marshmallow37",0.483682920490017,0,0.289642403997334,0.308183059415483,0.388444268404398,0.490495174066337,0.34015505184841,0.378276773508211
"marshmallow41",0.453880419717168,0.289642403997334,0,0.3117446623804,0.37808222443081,0.44256599051703,0.35974365240663,0.318945308042173
"marshmallow44",0.376776864863569,0.308183059415483,0.3117446623804,0,0.26316828718981,0.41205690232144,0.219372532577428,0.418905806919722
"marshmallow49",0.434581118055224,0.388444268404398,0.37808222443081,0.26316828718981,0,0.434795439911783,0.317411544420512,0.471480116607453
"marshmallow53",0.396112984225001,0.490495174066337,0.44256599051703,0.41205690232144,0.434795439911783,0,0.454142337455747,0.359155007661491
"marshmallow60",0.385496337117881,0.34015505184841,0.35974365240663,0.219372532577428,0.317411544420512,0.454142337455747,0,0.461816482925529
"marshmallow70",0.454134572976452,0.378276773508211,0.318945308042173,0.418905806919722,0.471480116607453,0.359155007661491,0.461816482925529,0
