"","charles41","charles46","charles49","charles50","charles51","charles55","charles57"
"charles41",0,0.46032669003963,0.630669084805252,0.573111498083304,0.459621759565897,0.472978358454314,0.21068475674046
"charles46",0.46032669003963,0,0.467300421494251,0.320365609006758,0.194071594803667,0.249005454033792,0.379739401853446
"charles49",0.630669084805252,0.467300421494251,0,0.433375538638504,0.482975126579521,0.554388984627663,0.645655551215645
"charles50",0.573111498083304,0.320365609006758,0.433375538638504,0,0.205370040827664,0.253522264370298,0.56630183167649
"charles51",0.459621759565897,0.194071594803667,0.482975126579521,0.205370040827664,0,0.125464159613286,0.433938537306163
"charles55",0.472978358454314,0.249005454033792,0.554388984627663,0.253522264370298,0.125464159613286,0,0.439710778450226
"charles57",0.21068475674046,0.379739401853446,0.645655551215645,0.56630183167649,0.433938537306163,0.439710778450226,0
