"","hera11","hera14","hera17","hera24","hera44","hera45","hera58","hera67"
"hera11",0,0.522290122777784,0.866822020115566,0.742333294636215,0.826273137697034,0.666176303045275,0.819882225642946,0.631911985756248
"hera14",0.522290122777784,0,0.842248097946462,0.690211773613659,0.8054176685545,0.642041926912352,0.788977146818813,0.661540448106264
"hera17",0.866822020115566,0.842248097946462,0,0.770911064765509,0.546299207491178,0.783161143134493,0.550022566393106,0.870482498991635
"hera24",0.742333294636215,0.690211773613659,0.770911064765509,0,0.756798380116015,0.67559703548173,0.755880698521784,0.737264642707424
"hera44",0.826273137697034,0.8054176685545,0.546299207491178,0.756798380116015,0,0.685736793509618,0.499748457663419,0.829638236015238
"hera45",0.666176303045275,0.642041926912352,0.783161143134493,0.67559703548173,0.685736793509618,0,0.741423430318182,0.672554050528754
"hera58",0.819882225642946,0.788977146818813,0.550022566393106,0.755880698521784,0.499748457663419,0.741423430318182,0,0.852604999413241
"hera67",0.631911985756248,0.661540448106264,0.870482498991635,0.737264642707424,0.829638236015238,0.672554050528754,0.852604999413241,0
