"","joans14","joans21","joans29","joans41","joans44","joans49","joans51","joans56","joans57"
"joans14",0,0.593107257365873,0.686627944888752,0.717743966281263,0.750876797493605,0.73943341489472,0.767279991378279,0.707321713669152,0.717127480509078
"joans21",0.593107257365873,0,0.510133288594359,0.407202871145053,0.434258945634108,0.485676002481888,0.490363683738223,0.482982441283722,0.50626999924932
"joans29",0.686627944888752,0.510133288594359,0,0.46126943665885,0.431195535998957,0.405703339153992,0.417204277681301,0.258532327542737,0.321716138094498
"joans41",0.717743966281263,0.407202871145053,0.46126943665885,0,0.375427361763902,0.432494130785842,0.403958662608268,0.444961608052373,0.432929770324303
"joans44",0.750876797493605,0.434258945634108,0.431195535998957,0.375427361763902,0,0.267055981797882,0.242312434941202,0.396390354635267,0.4272726774429
"joans49",0.73943341489472,0.485676002481888,0.405703339153992,0.432494130785842,0.267055981797882,0,0.2713751302423,0.30345396517682,0.386418430712373
"joans51",0.767279991378279,0.490363683738223,0.417204277681301,0.403958662608268,0.242312434941202,0.2713751302423,0,0.363621940839295,0.413952498935135
"joans56",0.707321713669152,0.482982441283722,0.258532327542737,0.444961608052373,0.396390354635267,0.30345396517682,0.363621940839295,0,0.284185403054992
"joans57",0.717127480509078,0.50626999924932,0.321716138094498,0.432929770324303,0.4272726774429,0.386418430712373,0.413952498935135,0.284185403054992,0
