"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00285714285714286	0.00214285714285714	0.00514285714285714	0.00828571428571429	0.00157142857142857	0.00457142857142857	0.00228571428571429	0.0174285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0104285714285714	0.00442857142857143	0.00114285714285714	0.00528571428571429	0.00242857142857143	0.007	0.00142857142857143	0.00971428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.00428571428571429	0.0314285714285714	0.00242857142857143	0	0.000285714285714286	0	0.001	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00771428571428571	0.00942857142857143	0.00128571428571429	0.00728571428571429	0.00314285714285714	0.005	0.00214285714285714	0.00328571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00985714285714286	0.00428571428571429	0.000428571428571429	0.00371428571428571	0.000714285714285714	0.00657142857142857	0.000428571428571429	0.00871428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.008	0.00442857142857143	0.000285714285714286	0.00814285714285714	0.00128571428571429	0.00585714285714286	0.00114285714285714	0.00528571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium hapali"	0	0	0.018	0	0.00457142857142857	0	0.01	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0	0	0.0168571428571429	0	0.00328571428571429	0	0.0121428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.001	0.00157142857142857	0.00314285714285714	0.00214285714285714	0.00914285714285714	0.00928571428571429	0.00357142857142857	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00342857142857143	0.00271428571428571	0.000714285714285714	0.00171428571428571	0.000571428571428571	0.00371428571428571	0.000428571428571429	0.0134285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.005	0.00271428571428571	0	0.00185714285714286	0.00185714285714286	0.0105714285714286	0.000714285714285714	0.00314285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.001	0.000714285714285714	0.00157142857142857	0.00628571428571429	0.002	0.0114285714285714	0.000571428571428571	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0	0	0.00914285714285714	0	0.00514285714285714	0	0.00857142857142857	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0.000857142857142857	0.00214285714285714	0.00257142857142857	0.00442857142857143	0.000857142857142857	0.00885714285714286	0.00185714285714286	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.0121428571428571	0	0	0	0	0	0.00957142857142857	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00514285714285714	0.00271428571428571	0	0.00514285714285714	0.000142857142857143	0.00342857142857143	0	0.00371428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00157142857142857	0.00185714285714286	0.000428571428571429	0.005	0.000571428571428571	0.00528571428571429	0.000428571428571429	0.003
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.002	0.00171428571428571	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.00285714285714286	0	0.0107142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00185714285714286	0.00128571428571429	0.000428571428571429	0.000285714285714286	0.00428571428571429	0.00785714285714286	0.00171428571428571	0
