"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.001	0.00114285714285714	0.00471428571428571	0.00385714285714286	0.00242857142857143	0.00157142857142857	0.00214285714285714	0.022
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.000714285714285714	0.00442857142857143	0.0144285714285714	0.00414285714285714	0.00257142857142857	0.000571428571428571	0.00485714285714286	0.00342857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.000428571428571429	0.00242857142857143	0.00742857142857143	0.00514285714285714	0.00671428571428571	0.000142857142857143	0.003	0.004
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00114285714285714	0.00214285714285714	0.005	0.005	0.00242857142857143	0.000571428571428571	0.00114285714285714	0.0112857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio dextrinosolvens"	0.00442857142857143	0.00328571428571429	0.00285714285714286	0.004	0.00157142857142857	0.001	0.00114285714285714	0.00985714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum succiniciproducens"	0.00585714285714286	0.00285714285714286	0.00242857142857143	0.00357142857142857	0.001	0.000428571428571429	0.000428571428571429	0.00771428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0	0.000714285714285714	0.00228571428571429	0.000857142857142857	0.00342857142857143	0	0.0158571428571429	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000142857142857143	0.00371428571428571	0.0101428571428571	0.000857142857142857	0.00114285714285714	0	0.000285714285714286	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00485714285714286	0.00228571428571429	0.00157142857142857	0.00357142857142857	0.00271428571428571	0.000714285714285714	0.00428571428571429	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00271428571428571	0.00528571428571429	0.000857142857142857	0.00328571428571429	0.00414285714285714	0.000285714285714286	0.00242857142857143	0.000285714285714286
