"","wolverine14","wolverine17","wolverine37","wolverine44","wolverine49","wolverine57","wolverine58","wolverine60","wolverine70"
"wolverine14",0,0.772891214493904,0.67509425425475,0.710847269485111,0.654670302634402,0.739945662204659,0.773558538053202,0.68127382936202,0.733252420924579
"wolverine17",0.772891214493904,0,0.576963625730004,0.698493276484813,0.707075175104638,0.620564165798359,0.588490051712739,0.722387557253014,0.768565704307579
"wolverine37",0.67509425425475,0.576963625730004,0,0.655117343586902,0.657829889254341,0.509406490878564,0.494914286289118,0.703756497432559,0.71799089839659
"wolverine44",0.710847269485111,0.698493276484813,0.655117343586902,0,0.635198347983735,0.700526591502197,0.735892142704907,0.676062309644863,0.41374757871464
"wolverine49",0.654670302634402,0.707075175104638,0.657829889254341,0.635198347983735,0,0.687177455008606,0.715024664499089,0.593568301160982,0.706527095433219
"wolverine57",0.739945662204659,0.620564165798359,0.509406490878564,0.700526591502197,0.687177455008606,0,0.501692307734109,0.739915691541484,0.761950287461946
"wolverine58",0.773558538053202,0.588490051712739,0.494914286289118,0.735892142704907,0.715024664499089,0.501692307734109,0,0.729283199052855,0.796080328437578
"wolverine60",0.68127382936202,0.722387557253014,0.703756497432559,0.676062309644863,0.593568301160982,0.739915691541484,0.729283199052855,0,0.715509570498985
"wolverine70",0.733252420924579,0.768565704307579,0.71799089839659,0.41374757871464,0.706527095433219,0.761950287461946,0.796080328437578,0.715509570498985,0
