"","iris16","iris17","iris22","iris36","iris44","iris46","iris59","iris60"
"iris16",0,0.152966828530757,0.223063675272675,0.359183478650413,0.0882395778462723,0.099810152989846,0.156308975869096,0.191103121558295
"iris17",0.152966828530757,0,0.130067367473497,0.438782046798875,0.11530882775115,0.161181038441376,0.11666085080406,0.270315681923551
"iris22",0.223063675272675,0.130067367473497,0,0.47311718377576,0.17791580047255,0.235444392629467,0.218570987517875,0.364569655029056
"iris36",0.359183478650413,0.438782046798875,0.47311718377576,0,0.356847625193055,0.348539910513053,0.382612844371877,0.375613822462294
"iris44",0.0882395778462723,0.11530882775115,0.17791580047255,0.356847625193055,0,0.0846964655496386,0.103829027682734,0.209675513610113
"iris46",0.099810152989846,0.161181038441376,0.235444392629467,0.348539910513053,0.0846964655496386,0,0.123353795137874,0.156583700701862
"iris59",0.156308975869096,0.11666085080406,0.218570987517875,0.382612844371877,0.103829027682734,0.123353795137874,0,0.206225566738741
"iris60",0.191103121558295,0.270315681923551,0.364569655029056,0.375613822462294,0.209675513610113,0.156583700701862,0.206225566738741,0
