"","goose20","goose22","goose37","goose42","goose44"
"goose20",0,0.582881219041182,0.670281703971853,0.670177474792287,0.737577889291287
"goose22",0.582881219041182,0,0.620952440964345,0.696458760576708,0.692134766535008
"goose37",0.670281703971853,0.620952440964345,0,0.487649728305646,0.600786387961439
"goose42",0.670177474792287,0.696458760576708,0.487649728305646,0,0.607554533653047
"goose44",0.737577889291287,0.692134766535008,0.600786387961439,0.607554533653047,0
