tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	2	0	0	21	1	0	0	1	0	0	0	1	1	1	0	0	0	2	6	0	0	3	12	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Qiania;Qiania dongpingensis	3	0	2	3	5	1	2	4	2	1	1	2	1	5	1	1	0	0	2	8	1	2	3	50
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	4	8	0	1	0	0	0	2	0	0	0	4	30	49
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	3	0	0	37	0	1	1	1	0	0	0	0	0	1	1	3	0	1	0	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	3	0	12	0	0	0	1	0	6	0	4	0	0	0	0	0	0	1	0	0	6	1	14	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	1	0	0	3	5	0	3	10	3	2	2	4	1	1	0	0	0	0	6	2	1	0	3	47
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	8	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	2	47
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	1	0	1	19	3	2	0	1	2	0	0	0	2	1	1	0	0	0	2	3	0	4	4	46
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	33	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	1	1	2	2	4	0	0	5	2	1	0	2	2	1	1	0	0	1	6	4	1	6	1	43
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	1	1	1	3	4	0	3	3	0	3	0	4	0	3	1	0	1	1	4	6	0	1	3	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	1	0	0	1	4	0	0	1	0	0	0	0	0	5	17	4	0	0	0	4	0	0	6	43
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi	2	0	1	4	4	1	3	3	0	2	1	2	2	0	1	3	0	6	0	2	3	0	2	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	33	0	0	4	0	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	3	0	0	5	6	3	3	0	0	6	2	1	0	0	1	0	0	3	2	2	0	5	0	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	5	8	4	0	2	0	0	0	0	0	0	0	4	0	0	0	0	5	5	0	2	1	4	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	0	0	4	0	0	0	0	2	1	0	8	4	0	2	7	1	0	5	0	2	0	3	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	2	8	0	0	0	0	0	3	0	5	5	0	3	6	0	1	2	0	2	0	2	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	0	0	1	1	4	0	0	0	0	0	2	1	0	5	14	1	0	0	0	1	0	3	5	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	1	1	5	0	1	0	0	0	0	0	1	6	3	0	3	0	0	2	4	1	0	8	2	38
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	1	1	1	0	0	0	0	4	4	3	0	18	2	1	0	0	0	1	0	0	0	0	2	38
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	10	23	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	0	1	4	0	0	0	0	0	0	15	0	0	0	0	0	4	13	0	0	0	0	37
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	8	0	0	0	0	2	0	0	1	2	0	0	0	0	0	6	0	0	6	0	10	35
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	0	0	1	2	2	3	6	4	0	1	1	7	1	0	0	0	0	2	1	0	0	3	34
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	2	0	0	1	0	0	0	0	0	0	0	0	0	8	19	0	0	0	0	4	0	0	0	34
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	1	0	0	3	7	0	4	4	0	2	0	1	0	2	3	1	0	2	0	3	0	0	0	33
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	21	6	33
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	2	0	4	4	0	0	0	1	1	0	1	5	4	0	0	0	0	1	2	0	1	6	0	32
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	8	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	12	0	9	32
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	0	0	3	2	6	0	0	0	1	0	0	0	0	3	4	0	0	0	0	2	0	0	10	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	2	5	1	5	0	0	2	0	2	0	2	1	0	0	2	0	1	1	5	1	0	1	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia pseudococcoides	0	0	1	2	2	0	0	1	0	2	0	3	2	0	0	0	0	4	7	1	0	4	1	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	2	0	0	2	7	0	1	1	1	0	0	3	0	1	0	0	0	2	2	3	0	4	1	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	3	0	0	0	0	0	0	1	0	0	0	0	0	7	17	1	0	0	0	1	0	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13	11	29
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	26	29
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	1	0	3	1	1	4	1	5	1	1	1	0	3	2	0	2	0	1	0	0	2	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	3	0	0	0	0	0	0	5	4	9	1	0	0	0	0	1	3	0	0	1	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	2	5	0	0	0	0	0	0	0	4	5	0	0	3	0	0	0	0	3	0	4	0	26
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	0	0	1	0	0	5	2	5	0	1	2	1	0	0	0	3	1	1	0	2	2	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	0	0	1	3	2	0	1	0	0	3	2	1	3	5	0	0	0	3	0	0	0	2	26
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	1	3	0	2	0	1	1	1	0	0	5	5	0	1	0	0	2	1	1	0	1	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	0	0	0	0	1	0	1	0	0	0	0	0	0	9	10	1	0	0	0	1	0	1	1	25
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	1	1	7	0	4	0	0	0	0	0	0	1	0	0	0	0	0	5	1	1	0	2	1	24
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Latilactobacillus curvatus	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	0	3	2	3	0	0	0	0	2	0	1	0	0	0	0	0	1	0	3	0	5	3	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marshii	0	0	0	4	1	0	0	0	0	0	0	0	0	5	10	1	0	0	0	0	0	0	2	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;[Clostridium] dakarense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	2	0	2	0	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	8	0	5	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	1	1	0	2	2	0	0	4	1	0	0	1	1	0	0	0	0	2	2	2	0	2	1	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia coccoides	1	0	0	2	4	0	0	1	1	0	0	0	1	2	0	0	0	1	1	1	2	4	0	21
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	0	1	1	1	3	2	1	1	0	0	0	4	0	0	0	1	2	2	1	0	0	1	21
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	8	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	5	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	2	0	0	3	0	21
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	3	0	8	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	0	0	1	1	1	0	0	2	0	0	0	0	0	5	5	2	0	0	0	2	0	0	2	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	13	0	0	0	2	21
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia porci	1	0	0	0	4	1	0	1	1	0	0	2	1	3	0	0	0	1	2	1	0	1	1	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella enoeca	0	0	0	2	2	0	0	0	0	0	0	0	0	2	9	1	0	0	0	2	0	0	2	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	1	3	1	0	0	0	0	0	0	0	1	6	0	1	3	0	0	0	2	0	0	0	2	20
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	7	0	7	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	1	4	1	0	1	1	1	0	1	2	1	0	0	0	0	1	2	0	2	1	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	0	1	2	0	0	0	0	1	0	0	0	3	0	2	3	0	0	2	0	0	0	5	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	1	0	0	1	2	0	2	0	0	4	1	0	0	0	3	0	0	0	1	1	1	0	2	19
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	12	1	0	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	1	1	2	0	1	3	3	4	0	0	0	1	0	0	0	0	0	1	0	1	0	18
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	0	1	3	1	2	0	0	1	1	0	0	0	1	1	0	0	0	2	3	0	0	2	0	18
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	1	0	6	0	0	0	1	1	1	0	1	0	1	0	0	2	0	0	0	0	2	0	2	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	1	0	1	0	0	1	0	0	1	2	0	2	4	1	0	0	0	3	0	1	0	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella hominis	0	0	1	1	2	0	0	0	0	0	1	0	0	4	6	0	0	0	1	0	1	0	0	17
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella morbillorum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	8	0	4	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	3	2	0	0	0	0	0	0	1	1	1	3	0	0	0	0	2	1	1	1	16
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria perflava	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	16
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	3	0	0	0	1	0	1	0	3	0	0	0	0	0	0	3	1	0	3	0	15
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis	1	0	2	2	3	0	0	1	0	0	1	0	0	0	0	0	1	2	1	1	0	0	0	15
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	0	0	0	1	3	0	0	0	0	0	0	0	0	3	6	1	0	0	0	1	0	0	0	15
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens	0	2	2	0	0	0	0	0	0	0	2	2	0	1	3	0	1	0	0	1	0	1	0	15
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] symbiosum	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	1	0	1	0	0	1	0	0	1	1	2	0	0	1	0	0	0	1	0	0	3	0	2	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	1	0	3	0	0	0	0	0	0	0	1	4	0	1	2	0	0	0	0	1	0	1	0	14
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	0	6	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	14
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	1	1	3	0	1	2	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	13
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella parahaemolysans	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	13
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella haemolysans	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	5	0	1	13
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chuandaensis	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	7	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	1	0	0	1	4	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	13
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus intermedius	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	1	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	2	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	1	0	0	0	1	0	0	3	12
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	1	0	0	1	0	0	2	0	1	0	0	1	0	1	0	0	0	0	2	0	2	11
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter bugandensis	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	7	11
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia faecicola	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	3	11
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	3	0	0	2	0	11
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	2	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	11
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella timonensis	0	0	0	0	0	0	0	4	1	1	0	1	0	0	0	0	0	1	1	0	0	2	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pleuritidis	1	0	0	1	2	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	7	1	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	0	0	0	2	2	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	1	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	2	0	1	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis_Incertae_sedis;[Bacteroides] pectinophilus	1	0	2	2	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	3	9
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	1	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	9
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia stercoris	2	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	9
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	1	9
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Diplocloster;Diplocloster agilis	1	1	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] lactaris	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecicola	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	1	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna chitinilytica	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	7
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella massiliensis	0	0	1	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Caproiciproducens;Caproiciproducens galactitolivorans	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Agathobaculum;Agathobaculum desmolans	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Agathobaculum;Agathobaculum butyriciproducens	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	7
