tax	BUD-46-MGE-S81	CM-NTC-005-CTRL	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	0	1	0	4	3	0	0	1	2	0	61	5	0	3	31	3	1	2	2	0	1	1	2	123
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	3	0	0	0	0	0	0	0	50	13	8	8	10	3	0	5	1	0	7	2	0	2	2	7	121
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	3	0	0	0	0	0	0	13	9	3	9	2	0	3	0	14	3	5	0	2	4	51	0	0	121
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	115	1	0	117
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	3	0	0	0	0	1	0	0	0	1	3	20	15	0	0	10	21	13	1	1	2	11	11	2	115
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	1	0	0	2	3	2	0	7	5	10	3	21	5	13	0	22	2	1	3	6	2	2	3	2	115
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Qiania;Qiania dongpingensis	3	0	6	3	3	2	8	3	2	20	6	3	2	22	0	3	3	1	5	7	3	3	2	5	115
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia coccoides	4	0	2	1	2	0	6	3	3	11	3	17	4	15	3	15	6	2	0	3	3	3	7	1	114
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	9	0	4	5	1	2	10	2	5	14	7	5	1	24	0	4	0	1	2	4	7	2	0	2	111
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	9	0	7	3	4	4	14	1	2	11	11	4	4	10	0	5	2	1	5	1	7	2	0	2	109
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	6	0	6	6	2	2	5	3	6	11	3	9	2	18	1	10	3	1	7	2	1	2	1	1	108
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	16	0	0	0	0	0	0	1	10	3	3	2	4	2	0	18	6	3	0	5	0	4	30	0	107
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	76	13	7	2	6	0	0	1	0	0	0	0	0	0	0	0	105
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	17	0	0	0	0	0	2	0	53	7	9	5	5	1	0	2	0	1	0	0	1	0	0	1	104
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	36	0	20	18	1	2	0	0	0	0	0	0	0	0	0	5	5	0	0	0	4	12	103
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	1	0	4	4	1	2	5	1	17	9	28	5	5	2	0	2	5	0	1	2	3	1	0	4	102
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	92	8	0	101
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	94	0	101
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	3	0	2	0	0	0	4	10	11	5	10	0	0	9	1	7	3	1	1	3	0	22	0	2	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	27	0	0	0	0	0	4	1	2	0	1	0	0	8	3	13	7	5	0	0	1	3	1	18	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	26	0	1	0	3	0	0	1	2	0	0	2	5	15	0	19	9	3	0	0	2	4	0	0	92
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	2	0	0	0	0	0	2	0	28	8	5	0	1	7	0	7	1	1	1	0	0	27	0	0	90
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	3	1	2	3	1	0	1	2	4	4	2	7	0	12	2	26	7	2	0	1	2	2	4	1	89
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	4	0	3	3	0	3	6	0	3	20	3	2	2	18	0	9	0	0	1	3	1	2	0	0	83
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	2	0	1	6	0	0	2	7	6	1	0	18	6	6	1	13	4	1	2	1	0	1	4	1	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	21	0	0	0	0	0	3	2	0	0	0	0	0	5	0	16	5	3	0	0	3	5	4	15	82
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	21	0	0	0	0	0	4	0	17	11	15	0	0	0	7	2	0	0	0	0	0	3	1	0	81
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	0	1	0	0	0	0	0	0	0	42	4	0	2	10	1	5	2	0	0	0	1	8	76
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	0	36	0	13	9	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	10	74
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	0	1	0	0	1	1	6	4	8	2	7	3	10	0	5	4	0	3	3	0	0	13	1	72
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	0	1	0	0	0	5	1	7	2	12	4	1	1	21	8	1	0	0	0	0	6	0	70
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	3	1	3	8	7	1	1	9	7	4	5	9	0	2	0	1	1	2	3	0	1	1	69
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella enoeca	10	0	0	0	0	0	5	0	15	17	15	0	0	0	7	0	0	0	0	0	0	0	0	0	69
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	8	0	0	1	3	1	1	0	23	6	3	0	0	2	0	9	3	0	4	0	5	0	0	0	69
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	1	0	0	1	0	1	0	0	0	0	0	35	0	0	0	20	3	0	1	0	0	3	0	2	67
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	4	0	2	1	0	1	0	5	6	7	1	0	1	12	0	15	4	1	0	0	3	1	2	0	66
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	3	0	2	8	0	0	1	6	2	2	1	9	7	1	3	3	2	2	0	0	2	11	0	0	65
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	2	0	0	2	0	1	3	5	5	3	4	7	5	3	1	9	3	3	0	0	0	8	1	0	65
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	1	0	2	3	2	2	10	2	6	2	6	3	6	5	0	4	1	0	3	0	3	2	0	2	65
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	21	0	1	0	0	0	3	0	0	0	0	0	0	6	0	9	4	2	0	0	0	4	1	12	63
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	2	0	1	3	0	1	1	3	3	8	1	10	2	5	2	9	6	0	0	0	1	3	1	1	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	4	0	0	0	0	0	3	0	20	17	11	0	0	0	8	0	0	0	0	0	0	0	0	0	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	13	0	0	0	3	0	0	0	1	0	0	0	2	11	0	10	13	1	0	1	1	6	0	0	62
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	4	0	0	0	0	0	0	0	0	0	0	28	0	0	0	4	0	0	0	9	17	62
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	1	0	1	4	0	0	0	9	1	0	1	7	9	4	4	1	0	4	0	1	0	10	0	0	57
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	44	0	0	0	0	0	0	0	1	1	0	1	1	0	1	3	0	1	0	0	1	2	0	0	56
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	11	0	0	0	0	0	2	0	13	8	15	0	0	0	7	0	0	0	0	0	0	0	0	0	56
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	8	0	0	0	0	0	0	1	3	5	5	0	0	1	0	6	0	1	0	1	0	19	3	2	55
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia porci	2	0	0	1	0	3	0	0	2	10	4	3	1	10	1	7	0	0	2	3	1	0	3	2	55
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi	0	0	0	2	0	0	0	4	1	0	1	13	3	5	0	8	5	2	0	5	0	3	2	0	54
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	0	0	0	0	2	0	1	1	1	1	21	1	0	3	5	4	1	3	5	2	2	0	1	54
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	0	0	0	6	8	0	0	0	0	0	1	0	0	0	19	17	0	0	0	0	0	0	1	52
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	2	0	0	1	0	0	2	8	4	3	0	6	2	4	1	6	1	0	1	1	1	7	1	1	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	8	0	0	0	0	0	1	0	27	4	2	6	3	0	0	0	0	0	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	14	0	0	0	1	0	1	0	17	5	4	2	3	1	0	3	0	0	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella parahaemolysans	0	0	0	0	0	0	0	0	0	1	0	39	2	0	0	7	1	0	0	0	0	0	0	0	50
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	2	0	0	0	0	0	0	0	15	6	7	5	1	5	0	2	0	1	0	0	0	1	3	1	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marshii	8	0	0	0	0	0	2	0	9	9	17	0	0	0	4	0	0	0	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella haemolysans	0	0	0	0	1	2	0	0	0	1	0	28	0	0	2	11	0	0	0	1	0	0	0	2	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	1	0	2	2	0	0	0	1	0	7	1	6	2	9	0	4	4	0	1	5	0	1	0	1	47
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	1	0	0	0	0	0	0	1	0	1	0	5	8	0	0	4	6	6	0	0	0	8	7	0	47
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis	0	0	2	2	3	0	1	2	0	3	2	7	3	6	0	7	1	1	1	1	0	3	0	1	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	13	0	0	0	2	0	1	0	3	1	2	1	4	4	0	7	3	0	0	0	0	5	0	0	46
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida	0	0	0	0	5	2	0	0	0	0	0	0	1	0	0	18	16	0	0	0	0	1	0	2	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pleuritidis	6	0	0	0	0	0	1	0	18	6	10	0	0	1	3	0	0	0	0	0	0	0	0	0	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	4	0	0	1	0	0	0	5	0	0	0	0	0	0	0	26	3	5	0	0	0	1	0	0	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	17	0	0	0	0	0	0	1	2	3	1	0	0	2	0	3	2	0	0	0	0	2	0	12	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	5	0	1	0	0	0	2	3	1	3	6	1	0	3	0	6	3	0	0	1	0	7	0	1	43
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium equinum	1	0	0	0	0	0	0	20	0	0	0	0	3	0	0	0	0	1	0	0	0	0	18	0	43
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	2	0	0	0	0	0	2	3	1	2	1	9	3	2	0	7	5	2	0	0	0	0	4	0	43
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	39	2	0	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	9	0	0	0	0	0	0	0	20	2	3	1	5	0	0	0	0	0	0	0	0	0	1	1	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	12	0	0	0	0	0	1	0	1	4	1	0	0	2	2	7	4	1	0	0	0	0	2	5	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	7	0	0	0	0	0	3	0	12	9	6	0	0	0	2	0	0	0	0	0	0	0	0	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella hominis	14	0	0	0	1	3	1	0	3	3	1	0	0	0	4	2	0	1	1	0	0	0	0	5	39
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella morbillorum	1	0	0	0	3	0	0	2	0	1	1	22	1	0	1	4	1	0	0	0	0	1	0	0	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	0	0	1	1	0	0	1	2	0	3	2	2	4	2	1	8	2	0	0	4	1	1	1	0	36
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	7	0	0	0	0	0	0	0	3	0	0	2	6	1	0	1	4	1	2	0	4	3	1	1	36
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	10	0	0	1	0	0	0	1	7	2	2	1	1	1	0	4	2	1	0	0	2	0	0	0	35
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	1	0	2	0	0	0	0	0	0	1	0	15	1	0	0	8	1	0	3	0	0	0	1	1	34
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	9	0	0	2	3	1	0	1	1	0	0	3	1	1	1	2	1	2	0	0	3	1	0	1	33
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	1	1	1	0	1	0	2	7	3	2	1	4	0	2	4	0	1	0	1	0	0	2	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Sellimonas;Sellimonas intestinalis	0	0	0	0	1	0	0	1	1	5	0	1	0	0	0	12	4	1	0	1	1	2	0	1	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	2	0	0	0	0	0	0	0	1	0	2	0	7	1	0	0	4	0	0	0	0	9	4	0	30
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	2	0	0	0	1	1	2	5	0	0	1	3	3	1	0	5	1	0	0	0	2	1	0	2	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens	6	0	0	0	0	0	2	0	5	0	2	0	0	1	0	5	1	1	0	0	0	5	0	2	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	1	0	2	10	0	1	2	0	3	0	4	0	3	0	0	0	0	1	0	2	0	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	1	0	0	0	0	0	0	3	2	1	4	0	0	0	0	0	0	2	0	2	0	14	0	0	29
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	1	1	1	0	0	0	0	1	0	15	2	0	1	3	0	0	0	0	1	0	1	2	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	3	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Diplocloster;Diplocloster agilis	2	0	1	0	0	0	2	0	0	3	1	4	2	2	1	3	0	0	1	1	0	2	2	1	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	8	0	0	0	0	0	3	0	0	0	0	0	0	3	0	8	0	0	0	0	0	1	1	4	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	1	0	1	0	0	0	0	1	2	0	0	1	5	0	0	9	2	2	2	0	0	1	0	0	27
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	0	1	3	1	0	2	0	4	2	4	3	1	0	1	2	1	1	0	0	0	26
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;Parvimonas micra	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	19	1	1	0	0	0	0	0	0	26
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	5	0	0	1	1	0	0	2	0	0	0	2	5	1	0	1	2	0	2	1	1	0	1	0	25
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	2	0	2	1	1	0	0	1	0	0	0	6	1	1	0	3	1	1	0	1	0	1	0	1	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia stercoris	0	0	0	0	0	0	1	1	1	2	0	0	3	5	0	2	2	0	0	0	0	2	0	4	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	0	0	0	1	0	0	1	2	3	4	1	0	5	1	2	0	0	0	3	0	0	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanolytica	1	0	0	0	0	0	0	3	0	0	1	4	5	2	0	1	1	0	0	1	0	3	0	0	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	1	0	0	0	0	0	2	4	1	0	3	0	0	1	0	3	5	1	0	0	0	1	0	0	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Diplocloster;Diplocloster modestus	0	0	0	0	1	2	0	0	1	1	0	5	2	4	0	2	1	0	2	0	0	1	0	0	22
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia ruminalis	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	1	21
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	0	21
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	1	0	0	1	0	2	1	1	1	0	2	0	0	3	0	5	0	0	0	1	0	2	0	0	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerosacchariphilus;Anaerosacchariphilus polymeriproducens	1	0	0	0	0	0	3	3	0	4	1	0	1	2	0	2	2	0	0	1	0	0	0	0	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	0	0	0	0	0	0	1	1	0	1	1	0	1	4	1	2	3	0	0	1	0	3	0	1	20
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella taiwanensis	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	6	0	0	0	0	0	0	1	0	20
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	0	1	3	0	0	0	1	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	2	0	1	1	0	0	2	3	1	0	1	2	0	2	0	2	0	0	0	0	0	1	1	0	19
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	0	1	2	0	0	3	0	3	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	3	0	0	0	6	2	1	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	1	0	0	0	0	0	0	0	11	1	0	0	0	0	0	1	3	2	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	1	0	0	1	0	0	0	1	0	2	0	2	2	3	0	4	1	0	0	1	0	0	1	0	19
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	1	0	0	0	0	0	0	1	1	3	4	0	1	1	0	1	1	0	0	0	1	2	0	1	18
