tax	BUD-16-DRS-L161	CHA-41-DRS-L176	CHA-57-DRS-L131	EXP-PBC096_barcode56	EXP-PBC096_barcode92	EXP-PBC096_barcode96	GIN-43-DRS-L130	GIN-66-DRS-L155	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	PAD-1-MGE-L96	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium aesculapii	26	1	3	0	0	0	307	99	254	1733	3	1	7	7	786	72	1540	2	7	1057	52	341	19	301	367	399	16	308	194	728	1156	1360	529	784	25	90	10	316	273	266	10	186	441	850	87	194	47	26	5	4	33	379	44	555	16300
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	63	451	79	0	0	0	292	373	0	3	42	23	54	34	314	471	809	224	78	245	86	332	186	713	180	208	184	631	901	859	140	230	101	223	159	183	377	73	52	902	86	245	190	307	152	317	62	93	13	317	465	1907	355	1127	15911
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	184	138	17	0	0	0	44	268	148	1039	47	51	48	13	103	1719	257	211	66	122	87	150	340	319	64	126	167	260	1195	596	842	601	53	46	109	55	23	35	63	77	104	312	54	88	1477	642	53	130	68	112	117	186	160	463	13649
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	87	148	237	0	0	0	510	299	0	2	76	116	155	42	248	251	196	167	189	238	53	149	78	144	231	196	255	290	555	497	605	533	712	655	389	380	79	327	469	24	174	237	64	113	14	8	164	445	44	41	471	655	388	406	12806
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	96	653	440	0	0	0	102	186	1	2	123	78	147	242	83	239	289	10	29	104	227	436	105	274	206	140	91	100	62	798	826	578	549	503	321	544	30	167	140	1043	49	71	602	324	115	90	65	126	50	2	30	53	36	47	11624
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	573	480	77	0	0	0	4	2	0	3	240	28	73	15	219	112	97	477	830	96	4	36	130	304	202	153	795	797	116	3	0	1	4	0	571	719	3	0	2	2	99	162	1	2	2	7	6	13	83	513	235	266	870	984	10411
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	2362	3304	28	0	0	0	1	340	0	4	0	0	0	0	0	2	1	2	1	0	0	1	1	1	0	2	92	139	269	56	0	0	1	0	41	17	1	0	0	0	139	65	12	29	223	85	1	0	0	1463	232	301	376	262	9854
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	718	0	1	0	0	0	2	11	1300	1878	0	0	0	31	0	2	57	23	3	6	0	1	3	32	272	58	0	0	1	2	0	1	0	4	57	48	1	3	1	862	3	18	359	206	187	365	13	23	1	2757	25	41	0	1	9377
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	1	854	9	0	0	0	14	417	0	1	72	45	72	57	11	108	84	51	68	10	8	26	54	79	33	25	123	110	465	478	3	3	2	1	246	229	0	1	3	1	334	372	2	2	55	41	1	3	31	164	1025	1215	1019	999	9027
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium myosotis	9	25	16	0	0	0	2121	552	30	257	45	13	108	5	309	36	274	10	64	358	13	131	16	86	137	276	57	307	212	127	110	352	67	162	40	53	153	65	78	235	9	78	78	120	125	455	273	33	24	161	43	147	51	318	8824
