tax	BUD-16-DRS-L161	CHA-41-DRS-L176	CHA-57-DRS-L131	EXP-PBC096_barcode56	EXP-PBC096_barcode92	EXP-PBC096_barcode96	GIN-43-DRS-L130	GIN-66-DRS-L155	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	PAD-1-MGE-L96	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	29	646	62	0	0	0	0	3	0	0	12	13	25	2	8	22	22	19	18	1	3	8	16	26	16	8	46	45	2	1	2	2	8	5	39	33	1	4	2	11	9	12	0	0	0	0	1	5	5	75	13	17	32	23	1352
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	16	0	15	0	0	0	67	59	0	0	17	7	27	6	67	18	51	11	25	55	7	43	7	25	8	27	39	23	40	72	19	96	17	24	15	5	18	8	10	21	9	37	23	30	3	16	19	33	5	0	22	63	23	37	1285
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	9	3	89	0	0	0	3	11	0	0	20	19	35	10	27	45	45	39	31	23	28	33	32	43	39	10	33	26	37	56	14	9	26	14	47	26	5	26	14	5	53	65	7	6	23	19	2	12	13	2	34	19	35	62	1284
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	1	0	1	0	0	0	0	1	0	0	182	253	255	165	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	6	7	1	1	3	0	0	8	0	0	1	0	0	14	14	9	6	124	94	123	0	0	0	0	1	1272
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium cebidarum	2	0	15	0	0	0	10	11	0	0	3	1	3	2	14	10	23	18	87	32	2	19	22	55	26	35	0	1	205	2	4	6	6	5	16	30	0	4	2	0	34	66	2	3	0	0	6	4	3	17	67	177	25	144	1219
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	16	18	69	0	0	0	21	50	0	1	28	23	31	7	26	68	22	42	17	6	9	15	23	18	34	4	52	12	12	36	16	11	33	23	63	9	11	32	13	11	8	14	17	16	24	21	10	53	26	6	36	16	50	23	1202
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella hominis	11	2	55	0	0	0	26	87	0	0	5	4	15	1	9	21	45	1	1	5	29	80	0	1	1	2	2	1	3	29	73	71	56	29	0	3	31	68	91	57	46	51	51	22	6	8	11	36	0	0	1	1	1	3	1152
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pongonis	1	0	5	0	0	0	6	3	0	5	2	1	15	2	85	1	23	25	175	74	1	15	18	92	17	23	0	6	19	20	13	17	13	7	61	242	6	10	12	1	5	10	4	2	1	1	5	14	0	0	3	14	4	37	1116
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	1	5	15	0	0	0	36	16	0	0	10	8	20	3	29	5	51	14	47	34	1	8	7	53	13	8	7	30	41	12	22	16	7	16	21	42	4	11	8	6	4	33	38	35	9	11	24	8	1	14	25	84	11	113	1037
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	0	0	2	0	0	0	0	0	0	1	166	144	246	120	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	11	4	8	8	5	0	0	2	1	0	0	0	0	2	1	0	2	103	95	97	1	0	0	0	0	1022
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	32	2	17	0	0	0	38	49	0	0	6	2	13	1	56	17	47	11	15	49	10	27	6	12	12	16	67	34	12	42	16	83	12	24	16	11	14	4	4	10	3	22	23	25	1	12	3	9	1	0	13	27	33	47	1006
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	1	0	55	0	0	0	13	13	0	1	5	4	8	8	52	31	17	21	36	59	8	20	9	17	19	12	21	17	28	34	28	16	31	23	23	28	9	6	11	5	10	23	23	20	4	3	9	6	4	0	51	50	50	42	984
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	75	0	0	0	0	0	1	4	100	205	0	0	0	2	0	0	3	2	0	0	0	0	0	1	43	17	0	0	0	0	0	0	0	0	5	6	0	1	1	95	0	0	58	27	2	8	2	5	0	302	4	1	0	0	970
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	16	0	0	0	51	24	0	0	1	2	1	1	29	7	45	20	77	30	0	9	7	45	17	10	3	13	41	9	31	13	11	37	16	13	25	16	11	4	11	23	18	34	14	34	12	6	2	0	9	33	11	88	930
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	137	195	11	0	0	0	0	8	0	0	0	0	0	1	5	8	6	1	8	0	1	1	5	12	2	1	126	163	7	4	3	3	6	8	6	6	3	0	0	1	1	3	0	1	1	2	0	1	0	44	17	19	47	41	915
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	1	0	120	0	0	0	62	39	0	1	0	3	8	2	50	26	19	9	7	51	4	8	12	26	17	18	1	2	3	45	22	16	48	34	48	34	2	25	22	6	35	25	0	1	0	0	18	34	3	0	0	0	2	0	909
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	42	31	63	0	0	0	2	12	0	0	2	11	7	6	23	68	28	44	11	15	17	19	22	20	21	8	102	35	5	12	4	2	7	7	28	15	4	13	6	18	15	6	6	1	7	1	0	1	2	6	26	11	21	14	847
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	2	0	0	0	0	60	4	0	0	10	2	10	0	4	5	12	3	12	3	1	5	4	2	5	4	2	34	105	13	3	2	1	0	11	8	3	1	3	1	4	30	1	4	2	3	18	13	0	8	34	177	34	175	838
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	2	25	0	0	0	40	15	0	0	4	2	12	3	9	17	37	8	30	14	1	8	3	35	14	7	4	14	45	12	2	1	7	13	33	42	2	13	15	2	9	14	3	4	4	3	6	6	3	1	22	76	25	154	822
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium angulatum	0	0	2	0	0	0	0	0	0	0	0	0	0	0	60	2	7	29	151	67	0	1	22	82	13	18	0	0	20	2	1	1	1	0	63	215	0	1	0	0	6	6	1	0	0	0	0	0	0	0	1	5	2	35	814
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	1	277	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	62	77	35	43	1	0	0	1	0	0	11	1	0	0	3	1	2	9	0	0	5	7	0	0	34	31	64	60	731
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium tissieri	0	0	0	0	0	0	21	14	33	325	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	3	0	42	81	19	19	0	4	12	0	0	0	1	0	9	22	24	76	0	0	0	14	0	3	0	3	729
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	1	0	86	0	0	0	48	26	0	1	6	4	4	2	62	20	14	7	9	42	2	7	7	10	12	9	0	0	0	40	12	15	50	24	36	21	4	21	23	11	26	16	5	2	0	0	11	18	0	0	0	0	0	0	714
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	149	172	8	0	0	0	0	8	1	0	0	1	0	0	1	103	30	26	1	0	8	11	42	31	18	9	1	1	0	4	0	0	0	0	11	3	0	0	0	0	6	2	1	0	0	0	0	0	0	13	5	11	1	3	681
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	0	4	45	0	0	0	0	0	0	0	9	8	17	0	40	5	11	12	19	55	7	19	9	16	32	26	0	0	0	1	15	19	22	31	25	21	8	12	34	5	0	0	37	26	0	0	19	19	2	0	0	0	1	0	631
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Mediterranea;Mediterranea massiliensis	0	0	19	0	0	0	0	1	0	0	9	4	11	0	54	4	15	7	36	71	9	20	11	13	17	26	3	1	0	2	32	25	26	13	29	32	3	14	25	3	1	3	13	5	0	0	2	14	6	0	3	3	5	4	594
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	58	120	6	0	0	0	0	1	0	0	0	0	0	1	2	3	4	1	0	1	0	1	4	5	4	1	104	120	7	8	2	2	8	5	4	2	0	0	0	0	0	1	0	2	0	2	1	0	0	29	22	14	31	17	593
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	0	1	2	0	0	0	0	0	0	0	2	2	4	1	0	1	0	1	0	4	3	2	0	1	2	4	71	43	14	20	1	3	1	3	1	4	29	0	2	0	2	0	90	48	5	3	0	0	4	0	45	41	65	64	589
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium miconisargentati	1	0	15	0	0	0	4	6	1	0	3	1	1	0	29	2	31	2	32	37	2	5	2	24	2	5	0	5	29	2	21	12	7	1	9	39	0	2	1	0	12	38	5	2	0	0	0	1	1	0	14	56	25	60	547
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	3	94	16	0	0	0	0	0	0	0	0	0	0	0	8	21	18	66	20	3	5	2	25	34	12	3	9	4	12	9	0	0	0	1	27	19	0	3	3	1	2	3	0	0	0	0	0	0	0	1	22	26	31	27	530
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	20	231	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	13	15	0	0	0	5	9	6	1	56	58	2	0	0	0	0	0	7	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	23	23	14	519
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	319	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	513
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	1	1	15	0	0	0	15	20	0	0	6	4	7	2	8	32	8	9	9	9	9	10	10	3	10	5	13	5	8	14	27	15	24	9	13	5	8	12	10	1	6	3	20	9	9	1	7	4	2	1	18	11	16	8	472
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	0	0	6	0	0	0	0	0	0	0	7	4	8	1	11	18	12	6	3	16	7	9	8	8	11	3	0	0	0	12	27	35	16	20	4	1	8	10	1	20	15	13	28	50	14	15	22	7	4	0	0	0	0	0	460
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	6	27	6	0	0	0	0	33	0	0	13	12	17	4	14	59	31	6	7	4	5	18	9	25	10	8	18	13	0	0	0	0	1	0	15	3	0	5	3	21	3	5	0	0	2	1	1	7	4	15	0	3	10	5	449
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium vespertilionis	0	0	3	0	0	0	14	9	5	19	1	1	4	0	1	0	8	0	0	8	0	2	0	4	3	4	0	1	0	22	36	61	34	15	0	0	3	3	11	6	2	2	13	27	1	4	32	33	0	1	1	4	3	9	410
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	3	59	52	0	0	0	5	9	0	0	0	0	2	0	12	10	21	8	9	8	4	3	10	14	11	4	16	7	7	10	6	5	5	4	6	5	1	12	11	0	5	8	5	2	0	0	3	5	0	6	6	16	5	10	410
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium santillanense	0	0	1	0	0	0	0	0	2	0	1	0	7	0	42	2	24	3	28	56	0	4	1	24	5	5	0	1	8	8	9	23	1	10	10	51	2	1	7	2	3	9	2	2	0	1	2	4	2	1	3	11	1	24	403
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	3	15	0	0	0	0	0	0	0	0	0	0	0	0	3	14	8	9	12	1	1	2	6	7	3	1	5	3	0	3	0	0	1	0	9	8	0	0	1	0	19	31	0	0	0	0	0	0	0	221	1	0	2	1	390
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	0	0	0	0	0	0	0	0	44	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	378
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	10	23	0	0	0	0	0	0	0	0	0	0	0	61	50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	217	0	0	0	0	365
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	0	11	0	0	0	3	2	0	0	5	1	5	0	25	4	9	6	17	29	4	9	3	13	14	12	7	5	4	6	9	3	11	3	10	24	1	9	7	1	5	5	9	4	0	0	2	2	0	0	12	11	13	19	354
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	1	0	22	0	0	0	3	3	0	0	3	2	6	1	26	1	7	2	8	41	6	7	2	3	3	10	4	4	0	6	10	5	6	5	9	16	8	3	14	3	5	0	14	23	0	0	0	10	1	0	9	10	15	10	347
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella bouchesdurhonensis	0	1	0	0	0	0	19	18	0	0	3	0	6	0	14	1	29	2	13	22	6	6	5	33	3	16	0	2	4	2	22	17	8	12	12	7	0	3	2	1	2	5	3	5	3	1	5	3	2	0	2	9	5	9	343
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	177	139	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	330
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	0	1	16	0	0	0	0	0	0	0	10	7	11	2	19	4	14	8	18	20	5	6	4	8	12	16	0	0	0	0	12	16	10	13	6	16	16	10	14	0	0	0	11	9	0	0	3	7	3	0	0	1	0	0	328
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	3	5	59	28	1	1	4	23	5	5	0	0	6	4	0	3	1	1	32	89	0	0	1	0	4	8	0	0	0	0	0	0	0	0	2	9	1	15	322
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium leontopitheci	2	0	0	0	0	0	71	16	0	1	1	0	1	0	8	0	17	0	0	7	2	2	1	3	9	9	0	14	7	6	3	6	3	4	7	13	0	2	3	2	1	6	1	2	2	0	1	0	0	0	9	30	11	39	322
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium phasiani	0	0	4	0	0	0	6	1	0	1	1	0	1	1	19	0	12	1	20	20	1	5	3	9	5	2	0	4	26	3	5	5	3	2	9	29	2	0	2	0	5	13	2	3	0	0	0	0	1	1	12	33	7	42	321
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola paurosaccharolyticus	0	0	10	0	0	0	6	8	0	0	0	2	1	1	10	2	2	2	3	13	1	4	2	3	2	1	28	34	9	2	15	9	4	6	12	10	0	4	4	0	6	5	6	3	0	1	0	7	1	0	14	19	20	22	314
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	1	1	15	0	0	0	6	13	0	0	3	4	3	0	2	19	7	9	5	5	2	3	10	5	7	4	22	2	3	2	10	0	12	5	11	2	1	7	1	4	5	3	9	3	15	3	0	0	1	2	10	13	21	17	308
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella wadsworthensis	1	12	4	0	0	0	4	5	0	0	6	10	21	12	6	0	6	1	6	8	11	10	4	1	10	9	2	1	0	13	15	8	13	13	10	3	1	1	3	10	0	4	10	1	1	2	1	13	2	0	4	9	2	6	295
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides chinchillae	0	1	2	0	0	0	16	13	0	0	3	4	23	0	5	0	2	2	3	7	1	2	0	0	5	2	8	5	5	8	20	10	8	9	8	10	0	9	18	3	1	12	3	2	0	1	2	8	2	0	6	8	13	12	282
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	28	13	25	0	0	0	0	0	0	21	0	0	0	0	0	28	33	1	0	0	0	0	0	23	31	15	18	274
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	19	70	1	0	0	0	0	0	0	0	2	2	6	2	2	10	14	4	4	1	7	14	3	13	7	3	5	7	0	8	0	0	0	0	0	0	3	0	0	8	0	1	0	0	0	0	3	8	1	12	4	4	1	3	252
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	142	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	246
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	23	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	44	11	21	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	8	10	0	0	18	17	33	23	245
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	0	1	3	0	0	0	5	4	0	0	4	4	1	1	14	23	8	7	8	10	4	4	6	10	11	4	3	1	4	2	17	2	9	13	7	1	1	6	0	3	1	1	9	5	2	1	0	1	0	0	1	6	9	5	242
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides rodentium	11	4	0	0	0	0	0	0	0	0	7	1	8	0	11	1	4	14	43	3	1	1	5	5	8	5	13	11	0	0	0	0	0	0	14	24	0	0	0	0	1	1	1	0	0	0	0	0	3	5	3	2	15	5	230
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	10	0	0	0	0	0	0	0	5	4	9	2	11	1	11	7	7	12	10	7	2	8	8	9	0	1	0	0	8	8	8	12	3	7	1	6	16	5	0	0	18	3	0	0	2	5	2	0	0	0	0	0	228
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	4	27	0	0	0	11	13	0	0	1	0	4	0	20	1	5	2	2	20	0	2	1	2	0	6	0	2	1	12	8	1	8	4	10	6	0	13	9	0	11	4	0	1	0	0	2	4	0	0	2	0	3	1	223
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella avium	2	0	0	0	0	0	11	4	0	0	0	0	3	0	12	2	15	1	12	8	1	3	0	15	9	5	1	2	4	2	9	11	5	1	3	9	1	1	1	1	0	6	5	3	0	1	1	1	1	1	2	17	2	24	218
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	0	0	2	0	0	0	8	8	0	0	5	3	1	0	5	4	11	3	4	3	6	3	6	5	6	5	3	4	1	4	26	5	7	8	6	1	1	6	5	3	7	3	9	3	1	3	2	1	2	0	3	4	6	5	217
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	3	3	4	11	7	1	0	14	15	0	2	4	9	0	19	0	0	4	3	22	25	0	10	10	1	2	8	0	0	2	0	1	4	0	0	4	3	4	10	211
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	11	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0	0	2	2	3	0	0	0	0	33	12	0	0	0	0	0	0	0	0	4	2	0	0	0	8	4	9	6	3	2	3	0	1	0	8	24	42	0	2	208
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecichinchillae	7	38	2	0	0	0	0	3	0	0	0	0	0	0	3	0	3	0	5	0	0	0	0	1	2	2	17	22	1	8	0	0	0	0	3	4	0	0	0	2	4	6	0	0	0	0	0	0	0	27	4	6	23	9	202
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	11	0	1	0	0	0	12	19	0	0	3	1	2	0	9	0	5	3	3	10	4	3	2	3	0	3	9	5	2	19	3	9	3	0	0	3	7	1	0	2	0	6	9	1	0	2	2	1	1	0	3	7	6	3	198
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	1	0	3	0	0	0	3	3	0	0	3	1	8	2	9	1	3	0	10	13	1	5	6	1	3	7	7	7	7	3	6	2	5	2	1	5	2	3	1	2	2	3	1	1	0	0	2	2	1	0	8	15	8	11	190
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella phocaeensis	1	0	0	0	0	0	1	1	0	0	1	0	2	0	0	1	18	3	1	5	1	0	1	7	5	5	0	4	3	29	6	4	0	14	7	11	1	5	6	0	0	4	1	0	0	3	6	1	0	0	1	11	3	14	187
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	150	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	4	168
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	5	0	0	0	4	3	0	0	2	0	2	0	14	1	24	0	5	15	1	0	1	13	1	4	0	6	1	4	2	2	1	2	1	1	1	2	5	0	1	3	0	1	0	0	1	0	1	0	3	8	3	22	166
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	4	5	11	0	0	0	3	10	0	0	1	0	2	0	3	12	5	8	1	1	2	1	2	4	7	1	5	4	3	7	0	1	4	3	9	1	1	2	0	3	4	0	3	2	1	1	0	3	2	0	2	3	6	5	158
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	0	0	0	0	0	0	30	119	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	153
