tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	0	0	0	156	278	147	604	209	979	261	184	710	478	118	296	230	108	379	94	257	204	411	302	456	6861
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	1517	1633	0	0	267	0	58	0	0	4	1	6	189	0	11	1504	9	534	454	19	88	15	1	6310
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	0	0	0	30	40	78	1291	183	486	271	59	321	225	94	665	48	43	796	216	149	7	20	450	430	5902
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	0	0	0	0	0	0	0	0	3036	0	0	0	0	0	493	0	0	0	196	282	0	0	836	902	5745
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	0	5620	0	0	0	1	0	0	0	0	0	31	5652
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	0	0	0	29	40	27	313	308	730	227	478	536	362	43	63	541	14	580	18	41	96	306	315	262	5329
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc lactis	0	1024	4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5180
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	0	0	0	25	33	19	817	893	232	222	288	227	115	58	45	204	35	534	29	41	24	49	236	200	4326
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	0	0	0	25	84	22	590	405	189	214	255	195	121	48	107	197	12	645	100	64	111	167	393	360	4304
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	0	0	0	46	235	123	653	173	442	70	83	263	174	71	93	189	23	559	13	40	64	72	286	361	4033
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	0	0	19	8	6	47	72	3583	0	2	4	3	15	1	7	0	93	0	1	1	15	29	58	3964
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	0	0	76	9	6	202	994	1610	0	0	0	0	53	1	0	0	260	0	0	0	3	91	381	3686
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	0	0	0	19	31	30	297	26	0	240	350	267	323	5	141	67	93	303	150	583	293	39	0	0	3257
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	0	0	0	47	36	28	611	583	10	126	393	170	98	37	116	423	26	0	37	52	70	125	5	2	2995
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	0	0	0	17	59	27	535	100	402	105	57	151	107	36	102	182	29	406	38	53	56	33	202	212	2909
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	0	0	0	45	48	26	277	56	183	251	163	393	242	15	125	108	20	102	80	84	129	75	109	124	2655
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	0	0	0	15	33	21	341	80	103	240	100	374	309	11	113	47	34	67	69	70	33	16	122	116	2314
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	0	0	0	9	21	40	501	106	914	31	16	83	47	18	70	42	29	85	12	24	5	9	77	130	2269
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	0	0	0	2	6	9	343	11	220	47	92	38	98	8	292	46	344	118	19	64	38	21	244	148	2208
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	0	0	10	13	9	12	73	249	2	1	3	0	20	2	3	0	741	0	0	0	1	443	473	2055
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	0	0	0	0	0	0	0	943	0	0	0	0	1	0	0	0	195	4	14	0	0	237	501	1895
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	0	0	0	120	141	129	0	0	0	6	2	2	2	0	383	0	0	0	567	392	71	54	0	0	1869
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	0	0	0	14	26	38	57	64	90	251	284	167	118	21	59	77	117	218	52	44	15	44	29	50	1835
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	0	0	0	69	31	26	129	400	293	34	43	27	24	8	10	40	23	137	7	6	12	41	269	131	1760
