tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	0	0	0	0	1	0	0	0	146	0	1	0	0	0	25	0	0	0	14	16	1	0	53	46	303
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	0	0	2	17	6	50	17	44	5	4	17	12	1	5	16	1	52	0	1	6	3	19	14	292
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella parahaemolysans	0	44	237	0	0	1	1	1	0	0	0	0	0	1	1	0	1	3	0	2	0	0	0	0	292
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	2	0	0	0	3	186	13	15	53	0	0	0	0	0	0	0	0	0	0	0	0	1	273
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	1	2	0	40	20	62	5	11	18	3	4	6	16	0	40	2	1	10	17	5	9	272
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	0	0	2	4	2	17	5	45	15	7	49	12	3	15	5	5	13	11	8	2	8	20	22	270
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	0	0	0	0	17	17	34	4	3	8	0	3	1	75	1	70	0	0	3	7	9	13	265
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	0	1	0	0	1	2	232	0	1	1	5	0	1	0	0	0	0	0	1	1	4	9	259
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	0	1	0	1	37	1	125	1	0	3	14	3	1	13	0	5	0	1	2	1	9	41	259
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	0	0	0	0	0	0	0	0	135	0	0	0	0	0	25	0	0	0	9	14	0	0	34	37	254
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	0	0	7	81	61	1	0	6	5	22	1	12	0	19	0	0	8	9	0	13	245
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	20	84	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	44	31	0	0	0	0	243
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	59	179	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	240
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	0	0	3	1	3	51	9	87	3	1	9	2	5	7	6	1	9	1	5	2	1	8	11	225
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	0	0	0	0	1	16	182	0	0	0	0	1	0	0	0	2	0	0	0	0	11	8	221
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	0	0	0	0	0	3	26	67	0	0	0	1	0	0	1	0	71	0	0	0	0	35	16	220
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	0	0	0	2	1	1	12	15	127	0	0	3	2	1	1	1	6	15	0	0	0	10	5	9	211
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	0	0	0	0	0	1	11	5	43	9	2	21	12	1	13	4	1	21	8	11	1	3	10	29	206
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	0	52	133	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	191
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	0	0	0	0	0	0	0	0	131	0	0	0	0	0	6	0	0	1	0	1	3	10	11	24	187
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia ruminalis	0	81	90	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	173
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	2	2	0	0	2	59	2	0	0	0	0	1	0	0	25	0	1	4	0	28	47	173
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	0	0	0	3	5	1	17	2	15	23	6	19	19	1	8	10	0	4	7	5	8	5	8	6	172
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	0	0	1	2	1	14	7	0	2	0	3	1	0	130	6	1	0	1	0	2	0	0	1	172
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	0	0	3	8	5	0	8	19	0	0	0	0	12	0	0	1	29	1	1	0	8	20	53	168
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	0	0	1	0	0	27	11	0	7	13	17	11	2	5	20	1	40	0	0	3	8	0	0	166
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	0	0	0	2	47	7	26	1	2	2	3	3	3	11	0	4	1	2	3	1	12	29	159
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida	0	74	78	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	157
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	14	0	0	0	0	0	7	150
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	0	0	0	0	85	0	1	0	0	0	0	0	33	11	0	18	0	0	0	0	0	0	148
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	0	0	0	1	0	0	10	23	17	6	0	0	1	1	0	4	0	12	0	1	3	0	23	44	146
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula	0	81	59	0	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	146
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	0	1	0	0	44	10	20	1	2	2	5	0	7	8	1	3	0	2	2	0	8	30	146
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	0	0	0	0	1	0	15	1	72	0	0	0	6	2	1	6	0	2	0	0	0	2	7	25	140
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	0	15	109	0	0	0	0	1	1	1	7	0	1	0	0	0	0	0	0	1	0	0	0	0	136
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	0	1	2	0	0	0	0	0	63	0	0	0	0	0	13	0	0	0	6	8	0	0	24	19	136
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	0	0	0	0	0	3	1	66	0	0	1	6	1	1	6	0	1	0	0	0	0	8	29	123
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	0	0	0	0	2	1	23	28	0	8	15	2	4	1	4	22	1	0	1	2	3	3	0	0	120
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	0	0	0	0	0	1	3	0	0	0	0	6	0	0	0	10	0	0	0	0	14	81	115
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	0	0	0	0	0	22	4	0	11	3	11	3	5	2	10	1	27	0	0	4	10	0	0	113
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	0	0	0	0	5	3	33	0	6	2	0	5	2	0	7	4	2	8	1	4	3	1	13	14	113
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria perflava	0	22	75	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	1	0	0	0	0	111
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	0	0	0	0	3	1	10	2	16	7	1	15	7	1	0	2	0	12	2	1	5	4	6	7	102
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hominis	0	0	0	2	0	0	1	2	2	1	0	6	11	8	8	29	1	11	0	2	1	4	4	6	99
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	14	22	0	0	5	0	0	0	0	0	0	0	2	0	1	27	0	10	7	1	4	1	0	94
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	0	0	0	0	0	0	0	0	36	0	1	5	16	3	0	0	0	0	0	0	0	0	5	25	91
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus capsulatus	0	46	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	0	0	0	0	0	0	0	0	51	0	0	0	0	0	9	0	0	0	2	1	0	0	10	15	88
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	0	2	2	1	5	2	17	4	4	13	6	1	1	1	1	6	1	4	2	1	3	8	85
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	0	0	0	0	0	60	0	0	0	0	0	3	0	0	0	0	0	2	5	5	10	85
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	0	0	0	0	0	0	0	0	12	0	0	0	0	0	60	0	0	0	3	1	0	0	2	4	82
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	0	0	0	1	1	3	0	8	11	0	0	0	0	5	0	0	0	13	0	1	0	1	10	28	82
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	0	18	51	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	76
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	0	0	0	0	0	0	11	1	8	3	7	1	4	1	4	1	1	3	3	10	1	2	4	9	74
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	0	0	1	1	13	0	26	2	1	1	1	1	3	2	0	11	0	1	2	1	3	3	73
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	0	0	0	0	3	5	2	19	4	1	9	2	0	7	2	0	6	0	0	2	1	4	4	71
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	0	0	0	0	6	20	1	1	2	5	2	1	5	4	0	5	0	5	1	0	3	9	70
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus massiliensis	0	23	44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella haemolysans	0	9	56	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	67
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	0	0	0	0	0	0	29	8	18	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	67
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus porcorum	0	18	45	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	66
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	0	0	0	0	3	2	7	3	8	2	0	7	3	3	2	0	1	11	1	0	2	0	4	6	65
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	0	1	1	0	14	2	14	0	0	7	0	4	3	3	0	4	1	1	1	0	0	6	62
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	0	0	1	1	0	4	1	1	11	2	10	7	0	0	6	0	1	7	2	3	0	3	2	62
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	0	0	0	2	2	12	3	3	6	5	10	3	0	4	0	2	1	2	1	1	1	3	0	61
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella morbillorum	0	10	48	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	60
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Glaesserella;Glaesserella parasuis	0	20	34	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	59
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus intermedius	0	18	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	58
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	3	0	0	0	0	0	3	57
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	0	1	0	7	12	9	1	1	2	2	1	0	3	2	7	1	0	0	2	2	3	56
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Qiania;Qiania dongpingensis	0	0	0	1	2	1	4	1	5	7	4	9	5	0	2	1	0	2	0	3	2	2	2	1	54
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	13	14	0	0	0	0	0	0	0	0	0	1	1	0	0	15	0	3	4	0	2	0	0	53
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	0	4	5	1	11	5	3	0	0	0	0	0	1	3	11	2	0	0	2	4	0	1	53
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	0	0	1	0	0	5	14	0	2	6	2	1	0	11	7	0	0	1	0	0	3	0	0	53
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	0	0	0	1	1	1	9	5	6	0	0	3	0	1	4	3	4	4	0	0	0	1	5	3	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii	0	0	0	0	0	0	0	0	27	0	0	0	0	0	5	0	0	0	2	4	0	0	7	6	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	0	16	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	0	0	0	0	2	0	9	1	7	1	5	1	1	0	1	1	1	5	6	1	0	1	6	0	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus rubneri	0	15	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	0	0	0	0	0	0	0	1	34	0	0	0	0	0	2	0	0	0	0	1	1	1	3	5	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	0	0	0	1	0	0	12	3	18	0	1	0	1	0	0	1	0	0	2	0	0	0	3	4	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	0	0	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	0	3	1	0	7	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella hominis	0	0	0	0	0	0	3	5	5	0	3	1	0	0	13	7	0	1	1	1	0	3	1	1	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	20	0	0	0	0	0	0	0	0	44
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	0	0	0	0	33	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	0	0	0	0	0	1	8	2	11	0	1	2	1	0	2	2	2	7	0	0	0	0	1	2	42
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	0	0	0	1	0	0	0	8	1	1	13	2	0	0	0	1	0	5	0	0	1	0	3	5	41
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata	0	10	24	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurellaceae_Incertae_sedis;[Pasteurella] aerogenes	0	17	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	2	5	0	0	6	9	39
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	0	0	0	0	2	4	1	8	2	2	5	1	1	0	1	1	2	1	2	0	1	2	2	38
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella taiwanensis	0	8	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	36
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	0	0	0	0	1	0	2	0	6	2	0	2	5	0	1	3	0	5	2	1	2	1	0	2	35
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	12	0	0	0	0	7	2	35
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella phocaeensis	0	0	0	0	0	0	2	1	15	4	3	1	2	0	0	2	0	2	0	0	0	0	1	1	34
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	0	0	0	0	0	0	0	2	11	0	0	1	0	0	10	0	0	0	3	0	0	0	2	5	34
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	9	0	0	0	0	0	1	33
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	31
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	0	0	0	0	1	3	0	8	3	0	0	1	0	4	0	0	3	0	1	0	2	3	2	31
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Glaesserella;Glaesserella australis	0	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	0	0	1	1	3	4	0	6	4	0	2	3	0	1	1	1	0	1	1	0	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia pseudococcoides	0	0	0	0	0	0	3	1	8	1	0	1	0	0	2	1	0	2	0	0	0	0	5	5	29
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas weihenstephanensis	0	1	0	0	0	0	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	0	0	1	0	3	0	0	2	2	0	0	0	0	1	4	8	0	0	3	1	25
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia glucosida	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	0	0	0	0	6	3	8	0	0	0	0	0	0	2	1	0	0	2	0	1	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	3	8	0	0	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	0	0	1	0	1	2	4	0	1	2	1	2	1	1	5	0	0	0	0	2	0	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bryantii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	0	0	0	0	0	0	0	6	0	0	1	0	0	1	6	0	0	0	2	4	0	0	0	0	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi	0	0	0	1	0	0	7	0	8	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	4	0	0	0	0	1	10	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	6	0	0	0	0	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus simiae	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	1	0	3	0	0	2	0	2	3	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	0	0	0	0	0	0	1	3	0	1	1	0	0	0	10	1	0	0	0	1	0	0	0	0	18
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia porci	0	0	0	0	0	1	0	0	3	4	0	2	2	0	0	1	0	0	0	0	1	0	2	1	17
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia faecicola	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	7	17
