tax	BUD-57-MGE-S165	CM-NTC-009-NTC	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	141	0	126	61	2	0	55	543	0	86	907	374	43	0	257	220	6	0	231	75	4	488	415	49	4083
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	136	1	32	255	108	117	247	663	45	282	7	48	64	435	0	54	34	102	87	127	509	153	142	24	3672
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	253	0	25	195	58	98	80	94	210	143	415	169	65	66	1	142	239	71	169	272	109	405	160	108	3547
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	93	0	35	152	126	119	88	95	204	783	189	231	32	316	0	74	55	112	119	65	68	97	86	21	3160
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	1321	0	0	17	97	2	0	0	0	0	0	15	1447	0	0	0	0	32	9	0	0	0	2940
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	123	0	0	0	0	0	0	0	0	1929	0	0	0	0	0	130	119	0	0	0	0	1	491	58	2851
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	95	1	24	179	152	100	124	124	155	84	236	271	21	184	0	84	66	156	74	44	41	79	53	15	2362
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	92	0	21	2	1	140	2	3	115	294	7	235	140	85	0	36	35	32	179	285	56	142	172	38	2112
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	48	0	21	0	0	333	26	111	107	2	50	20	10	0	307	80	0	0	815	52	16	57	33	9	2097
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	47	0	3	8	1	139	158	481	20	4	260	127	43	10	0	11	0	8	18	15	111	227	373	10	2074
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	64	0	114	115	28	45	115	93	68	213	82	92	11	75	0	26	25	36	88	55	49	219	127	26	1766
