tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010-CTRL	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	6	2	0	12	0	0	0	0	0	0	0	48	3	0	0	10	0	0	0	0	0	0	4	86
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	0	0	0	2	3	1	2	3	0	21	1	0	11	5	0	1	12	10	0	0	5	2	79
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	2	7	0	0	5	0	0	0	0	0	0	0	33	0	0	0	30	0	0	0	0	0	0	0	77
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	3	6	8	0	5	4	4	3	2	0	1	3	9	5	3	2	1	2	2	4	0	5	0	2	74
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	3	3	0	0	1	2	1	0	0	0	1	4	2	5	14	1	0	2	9	6	0	4	2	10	70
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	7	3	0	6	0	0	0	0	0	0	0	10	2	5	2	0	9	4	9	0	0	2	7	66
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	2	0	0	0	0	1	0	0	3	0	27	3	0	3	2	2	0	0	23	0	66
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	1	0	0	0	0	0	0	0	3	0	0	28	0	23	1	0	0	0	3	0	0	3	4	66
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	1	5	22	0	1	0	0	0	0	6	2	0	6	1	11	2	0	0	0	2	0	0	6	1	66
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	4	0	0	0	2	1	1	2	0	6	0	0	2	0	25	0	0	1	2	2	0	0	11	6	65
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	7	2	6	0	6	0	0	2	0	8	0	1	0	13	7	1	0	1	1	3	0	0	2	4	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	5	0	0	3	3	6	1	0	0	1	7	0	2	8	3	2	6	1	6	0	1	7	0	62
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	3	2	0	0	0	2	1	2	1	5	0	16	0	1	6	1	0	1	8	2	0	1	6	1	59
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	1	4	0	0	5	0	0	0	0	0	0	0	31	0	1	0	14	0	1	0	0	1	1	0	59
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	3	7	0	1	6	0	0	0	0	0	4	0	0	0	0	0	0	10	13	9	0	0	0	0	53
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	1	4	1	0	1	0	0	1	0	0	0	1	23	14	2	0	2	0	0	1	0	0	1	0	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	2	0	0	2	5	4	0	0	0	2	2	1	3	1	7	0	7	2	3	0	0	6	0	47
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	1	0	1	0	2	0	0	0	0	0	0	0	26	10	1	1	1	0	0	2	0	0	1	0	46
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	3	2	9	0	4	0	1	0	0	1	0	1	5	1	2	1	2	2	1	1	0	1	2	6	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	1	2	3	0	0	0	0	0	0	0	0	0	2	2	10	3	0	0	0	5	0	0	14	2	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	1	3	1	1	5	1	1	1	0	0	1	1	3	4	6	1	0	3	1	1	0	0	2	5	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	3	0	0	0	0	0	0	1	1	12	4	2	0	3	6	0	0	0	1	3	0	0	1	0	37
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	1	1	1	0	2	1	2	0	1	0	4	1	1	0	0	2	1	7	4	1	0	2	3	0	35
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	1	6	0	0	0	0	0	0	1	0	12	0	5	2	0	0	2	5	0	0	0	0	0	34
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	2	2	5	0	0	0	0	0	0	0	0	0	3	15	5	0	0	0	0	0	0	0	0	0	32
