tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006-CTRL	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	9	0	0	3	0	0	0	10	6	49	0	0	0	0	13	3	0	4	0	0	0	0	0	0	97
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	13	4	8	1	3	0	1	0	0	0	25	2	2	0	3	3	4	8	12	3	3	95
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	2	0	0	9	0	0	0	2	0	0	0	0	0	55	0	0	0	0	0	0	0	0	7	19	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	2	0	3	38	0	1	0	0	0	0	0	0	1	0	0	0	1	4	21	13	5	2	0	91
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	3	7	0	5	11	4	1	4	0	4	0	0	2	8	7	8	7	6	1	0	3	2	5	3	91
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	1	0	0	5	8	15	3	4	1	0	0	0	4	7	6	2	2	1	3	6	2	3	4	2	79
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	0	0	0	8	2	0	0	0	0	0	0	0	0	10	0	0	5	0	13	17	3	12	6	1	77
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella shahii	1	0	0	13	0	0	0	5	0	0	0	0	0	46	0	0	0	0	0	0	0	0	4	7	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	5	0	0	10	0	0	0	6	1	0	0	0	0	42	0	0	0	0	0	0	0	0	5	5	74
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	0	3	0	5	14	6	2	3	1	0	0	0	4	4	0	3	4	1	2	9	2	1	4	3	71
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	1	3	0	7	8	4	2	6	1	0	0	0	3	8	5	1	1	1	3	5	4	2	3	3	71
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	0	0	4	5	0	0	3	0	0	0	0	0	37	0	0	0	1	0	1	0	0	7	5	64
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	1	0	0	0	0	0	0	1	29	0	13	7	0	0	3	0	0	2	6	0	1	1	0	0	64
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Qiania;Qiania dongpingensis	1	0	0	6	7	5	4	8	0	2	0	0	3	6	5	3	0	4	0	3	1	1	0	4	63
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	0	0	10	0	0	4	0	0	0	0	1	0	0	1	2	1	5	6	15	3	0	10	58
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	1	5	0	4	1	3	4	6	10	0	1	0	0	3	2	12	1	0	0	2	0	1	1	1	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	0	0	12	0	9	2	0	0	0	0	0	0	0	3	4	0	1	3	8	5	11	0	0	58
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	35	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	56
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	0	3	0	7	4	4	0	3	2	1	0	0	3	4	2	1	2	4	3	3	5	2	2	0	55
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	2	1	0	8	2	3	5	6	2	0	0	0	4	4	2	0	3	3	1	2	1	0	2	4	55
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	38	0	11	0	0	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	0	0	0	0	0	0	0	0	1	0	0	32	6	0	0	0	0	3	0	0	7	3	52
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	0	0	0	1	10	0	0	1	0	0	0	0	2	12	0	1	1	1	1	5	6	1	5	4	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	1	0	0	2	5	0	0	0	0	0	0	0	1	2	3	0	0	1	2	4	10	3	17	0	51
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	0	12	0	0	4	3	5	3	4	0	1	1	1	4	1	1	3	1	0	1	1	0	0	4	50
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi	1	3	0	8	5	9	0	1	0	2	0	0	3	3	3	4	1	1	0	1	0	1	1	1	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	1	0	6	1	5	0	4	0	2	0	0	3	3	6	2	0	2	1	0	1	2	3	4	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	4	2	0	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0	0	5	2	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	5	5	0	0	0	0	0	4	2	0	0	0	3	0	0	3	0	3	0	9	2	9	0	0	45
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	2	1	8	2	1	0	0	2	0	0	3	5	0	1	0	0	3	2	2	3	9	44
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	9	0	4	4	1	3	4	4	0	1	3	0	2	0	3	1	1	0	0	2	1	1	0	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	1	3	0	1	6	1	2	4	0	0	0	0	4	5	2	0	0	2	0	2	1	3	2	4	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	2	0	0	6	3	2	0	0	42
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter bugandensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	15	24	0	0	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	1	3	0	2	15	0	0	1	0	0	0	0	0	8	0	0	2	0	1	0	1	4	3	1	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	1	0	2	1	3	4	6	1	0	0	0	3	2	2	1	2	3	0	2	1	1	5	2	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	1	0	0	3	0	0	0	1	0	0	0	0	1	19	0	1	0	0	0	2	1	5	3	3	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	2	0	0	6	0	7	2	0	0	1	0	0	0	17	2	1	0	1	0	0	0	0	1	0	40
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	1	0	2	6	0	0	2	0	0	0	0	2	7	2	0	0	1	1	2	5	0	8	0	39
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	7	0	1	8	1	7	2	4	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	1	2	5	1	21	0	38
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	2	0	0	7	1	0	0	0	0	2	3	0	0	4	0	3	0	0	4	6	2	1	2	38
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	2	4	0	0	0	0	0	0	0	0	0	0	5	5	0	1	0	2	2	4	0	12	1	0	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	1	0	0	0	5	4	1	3	0	1	0	0	0	0	3	1	3	1	1	2	3	2	6	0	37
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	2	0	0	4	11	2	1	2	0	0	0	0	0	2	0	0	0	0	0	2	5	1	5	0	37
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia coccoides	1	4	0	3	5	2	0	4	0	0	1	0	2	4	2	0	0	2	2	1	2	0	2	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	4	5	1	1	1	1	0	1	0	1	4	0	1	0	1	0	2	3	5	1	4	36
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	5	0	0	2	4	0	0	1	0	0	0	0	3	2	0	0	0	0	1	2	7	1	7	0	35
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia pseudococcoides	1	0	0	2	0	5	0	0	0	0	2	0	4	4	0	0	1	0	2	4	5	2	2	0	34
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marshii	1	0	0	2	0	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	6	32
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis	1	2	0	2	2	3	1	1	1	2	1	0	1	4	0	3	1	1	0	0	1	0	1	3	31
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudocitrobacter;Pseudocitrobacter faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	16	0	0	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	2	0	0	4	8	2	0	0	0	0	0	0	0	0	0	2	1	0	1	3	3	1	0	3	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	0	3	3	0	0	1	0	0	0	0	0	5	1	0	4	1	2	4	2	1	3	0	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	1	2	4	3	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	2	0	0	2	9	0	0	0	0	0	0	0	3	0	0	0	0	1	2	1	7	0	1	0	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	1	0	0	1	2	0	0	1	0	0	0	0	0	16	0	0	0	1	0	0	0	0	5	0	27
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi	1	1	0	0	12	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	8	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	1	1	0	2	0	0	0	2	1	0	0	0	0	4	0	1	0	1	0	5	1	8	0	0	27
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia porci	1	0	0	1	0	2	0	2	0	1	0	0	3	2	5	2	2	0	0	0	0	0	2	3	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	0	0	6	0	0	0	0	0	2	1	1	0	11	0	0	0	0	1	1	3	0	0	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	1	0	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	6	6	0	0	25
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	0	1	0	0	0	3	1	0	0	0	2	1	0	2	0	0	0	2	3	4	3	0	2	0	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella pleuritidis	1	0	0	3	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	1	0	0	1	24
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	0	3	0	1	0	4	2	0	0	0	0	0	0	3	1	1	0	3	0	2	1	3	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	0	0	0	2	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	4	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella enoeca	0	0	0	4	0	0	0	2	1	0	0	0	0	11	0	0	0	0	0	0	0	0	1	5	24
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	7	0	6	0	24
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	0	1	1	0	1	1	0	0	0	0	8	1	0	0	0	0	2	4	1	3	1	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	1	0	0	3	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	2	24
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	0	1	2	7	2	0	0	0	2	0	1	0	3	1	0	0	0	0	1	1	0	2	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	2	0	0	1	1	0	1	1	0	0	0	0	4	1	0	1	1	1	1	3	0	2	3	23
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	1	0	0	0	0	0	0	0	1	0	4	5	0	0	1	0	0	4	6	0	1	0	0	0	23
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	0	0	0	1	0	4	0	0	0	0	4	0	2	0	2	0	1	0	0	3	2	0	1	1	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	2	8	0	0	20
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	1	1	0	1	7	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	6	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella hominis	0	1	0	3	0	0	0	2	3	0	1	1	0	2	1	0	0	1	1	0	0	2	0	0	18
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	1	0	0	0	1	2	1	0	9	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	4	1	5	0	0	16
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	1	1	2	2	0	15
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	3	2	1	0	1	1	14
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	1	1	0	0	0	7	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	14
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	1	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	14
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	2	2	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	0	0	0	1	1	3	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	2	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	3	1	2	1	0	0	0	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Eubacteriales_Incertae_sedis_Incertae_sedis;[Bacteroides] pectinophilus	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	2	0	0	1	2	2	0	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	2	0	1	0	1	1	1	2	0	13
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium equinum	0	0	0	0	0	0	0	0	0	0	9	1	2	0	0	0	0	0	1	0	0	0	0	0	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	1	1	4	1	13
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter huaxiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	0	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	1	0	0	0	2	0	0	0	0	0	2	0	0	1	3	0	0	0	0	3	0	1	0	0	13
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Diplocloster;Diplocloster agilis	0	0	0	0	2	1	1	4	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	0	0	1	2	1	0	0	0	0	2	1	0	1	0	1	0	1	1	0	1	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	0	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	1	0	0	2	1	1	1	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	0	0	1	1	1	1	0	0	0	0	1	2	2	0	0	1	0	1	0	1	0	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	2	1	0	4	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens	0	2	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0	0	0	0	1	2	0	0	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	0	0	0	2	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	12
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	2	0	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	2	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna aminovalerica	0	2	0	0	0	0	1	5	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	2	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	11
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	11
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Caproiciproducens;Caproiciproducens galactitolivorans	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	10
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	1	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] lactaris	0	0	0	0	1	1	0	1	2	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor;Acetatifactor muris	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola paurosaccharolyticus	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	9
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium dentalis	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	3	0	9
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella ihumii	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	9
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus	0	1	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella timonensis	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	2	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phocaeense	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	1	0	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	4	0	1	0	0	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	0	0	2	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	8
