tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006-CTRL	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	11	13	0	110	79	122	42	46	12	8	30	11	8	307	43	195	15	45	57	121	92	198	29	158	1752
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	24	65	0	173	159	95	15	85	8	22	31	14	43	128	120	78	29	70	53	72	111	56	56	47	1554
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	28	0	0	307	0	0	0	78	37	0	0	0	0	818	0	0	0	0	0	0	0	0	72	189	1529
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	7	0	0	0	0	0	0	52	47	0	256	291	0	0	154	4	7	146	309	1	80	64	0	0	1418
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	8	0	0	15	1	0	0	1	5	6	7	12	378	254	0	38	0	89	363	65	50	92	24	1409
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	21	0	0	158	327	93	7	34	15	4	16	5	34	131	46	39	17	11	39	134	65	114	6	85	1401
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	2	2	0	10	104	10	1	0	2	2	69	37	13	101	618	1	77	0	14	81	27	22	23	176	1392
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	24	194	0	136	96	113	145	54	57	10	6	30	21	33	58	142	25	47	11	31	20	27	23	37	1340
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	63	47	0	26	126	77	18	61	51	6	72	54	93	72	38	1	66	40	31	82	101	46	41	98	1310
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	12	19	0	73	119	59	12	35	4	6	0	0	42	197	1	27	19	10	22	77	55	32	148	59	1028
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	16	197	0	82	63	62	103	36	57	2	8	34	17	21	48	103	16	44	6	16	6	27	12	32	1008
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	992	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1005
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	39	0	2	0	0	0	2	0	0	11	6	13	170	219	0	18	2	15	71	13	12	368	13	974
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	13	5	0	46	83	18	9	52	26	2	0	0	44	103	63	46	37	48	15	41	33	44	6	199	933
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	1	0	0	1	0	0	0	0	0	325	77	233	4	0	0	203	0	10	15	16	1	8	5	899
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	15	14	0	75	88	64	28	86	19	13	6	3	36	75	43	38	20	39	18	37	39	24	26	60	866
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	13	5	0	68	28	9	1	23	2	17	0	0	43	177	6	23	13	19	21	88	86	26	91	51	810
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	6	115	0	29	92	22	6	7	13	4	9	0	7	65	109	6	45	4	5	51	26	35	15	99	770
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	15	0	4	114	0	0	0	0	0	0	0	26	110	0	1	5	0	31	147	82	45	53	76	709
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasihormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	662	6	0	0	670
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	12	0	0	41	20	0	0	36	170	5	0	0	27	0	62	187	18	23	3	6	7	3	0	0	620
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	31	0	586	0	0	619
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	254	0	0	0	0	0	0	5	6	0	37	38	18	0	25	1	1	27	91	3	43	16	0	48	613
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	73	0	0	0	0	0	0	209	191	61	0	0	0	0	15	2	0	11	0	0	0	0	0	0	562
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	17	85	0	1	0	0	0	43	12	3	0	0	21	14	0	28	0	17	18	70	25	179	0	3	536
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	6	2	0	10	35	38	7	3	4	0	38	2	5	9	4	2	7	0	20	96	83	61	14	52	498
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	16	1	5	96	359	0	0	480
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	0	3	310	0	0	1	0	6	4	3	16	29	3	0	7	0	4	35	16	14	6	19	477
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	1	54	0	4	47	0	0	4	0	0	0	0	93	0	0	0	49	2	47	34	44	16	39	5	439
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	0	14	0	11	122	4	0	8	0	2	0	0	27	59	13	3	6	1	9	28	24	6	79	13	429
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	10	7	0	25	2	83	9	10	6	0	130	3	13	8	17	5	15	1	1	18	29	9	9	12	422
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	7	2	0	31	15	46	16	45	6	2	0	0	18	28	29	25	15	13	3	11	19	18	32	33	414
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	10	1	0	57	0	0	0	22	11	0	0	0	0	235	0	0	0	0	0	0	0	0	24	48	408
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	13	0	0	35	86	20	5	13	5	1	1	1	9	34	8	12	6	5	11	40	11	39	3	22	380
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	0	0	0	1	0	0	0	0	0	160	36	127	0	0	0	9	0	2	8	12	0	6	0	361
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	9	28	0	30	35	23	9	22	16	3	17	13	10	21	22	19	4	3	6	14	7	12	3	27	353
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	231	8	108	0	0	353
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	5	10	0	9	94	4	0	5	0	2	0	0	18	31	14	0	18	2	8	12	18	9	71	11	341
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	1	0	0	0	2	0	0	0	0	0	0	0	13	0	0	0	11	0	40	153	53	46	0	1	320
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	24	1	292	0	0	320
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	4	13	0	48	21	24	23	14	8	1	1	1	1	27	19	19	4	12	0	3	3	4	12	6	268
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	0	53	0	3	39	0	0	0	1	3	0	0	26	32	26	0	30	3	0	0	0	0	48	0	264
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	5	1	0	28	0	0	0	19	6	0	0	0	0	141	0	0	0	0	1	2	0	0	11	29	243
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	5	6	0	18	22	26	6	29	4	3	0	0	10	11	18	19	3	16	2	5	8	7	3	22	243
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	2	8	0	9	63	3	2	6	1	1	0	0	16	21	4	0	7	2	5	19	11	7	48	8	243
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	9	38	0	0	0	0	0	14	4	3	0	0	11	0	0	13	0	4	6	33	16	83	0	0	234
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	33	0	193	0	0	227
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	56	1	9	68	79	0	0	220
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	6	0	0	12	12	0	0	4	0	0	0	0	8	13	13	3	1	4	10	12	18	1	94	2	213
