"","iris16","iris17","iris22","iris36","iris44","iris46","iris59","iris60"
"iris16",0,0.596277252609815,0.619853648942469,0.765683087559309,0.554103316836462,0.590768658357713,0.624269464420294,0.613074280879045
"iris17",0.596277252609815,0,0.569958154356889,0.839137290263293,0.637116340681067,0.66542163861113,0.494660165188376,0.670779171274985
"iris22",0.619853648942469,0.569958154356889,0,0.764086285500044,0.629245260268567,0.663556335315262,0.565938825293049,0.722238124988426
"iris36",0.765683087559309,0.839137290263293,0.764086285500044,0,0.808996311952462,0.808639439929453,0.778920886878162,0.842974221539922
"iris44",0.554103316836462,0.637116340681067,0.629245260268567,0.808996311952462,0,0.459140464817183,0.615239244447244,0.498501395862035
"iris46",0.590768658357713,0.66542163861113,0.663556335315262,0.808639439929453,0.459140464817183,0,0.611470025811776,0.470154504404315
"iris59",0.624269464420294,0.494660165188376,0.565938825293049,0.778920886878162,0.615239244447244,0.611470025811776,0,0.664157087256325
"iris60",0.613074280879045,0.670779171274985,0.722238124988426,0.842974221539922,0.498501395862035,0.470154504404315,0.664157087256325,0
