"","ivy24","ivy29","ivy36","ivy44","ivy46","ivy47","ivy70"
"ivy24",0,0.199221282280369,0.533662071434502,0.170859435937057,0.265420870875232,0.208581430929128,0.212331621912855
"ivy29",0.199221282280369,0,0.570444149181953,0.206691187349518,0.123360521477236,0.221323772577969,0.154329205817045
"ivy36",0.533662071434502,0.570444149181953,0,0.530823373541653,0.612756355493686,0.401788371997448,0.574079146195991
"ivy44",0.170859435937057,0.206691187349518,0.530823373541653,0,0.231995146520427,0.268372071840899,0.172993994011346
"ivy46",0.265420870875232,0.123360521477236,0.612756355493686,0.231995146520427,0,0.293121116111365,0.164450556371107
"ivy47",0.208581430929128,0.221323772577969,0.401788371997448,0.268372071840899,0.293121116111365,0,0.255461190347625
"ivy70",0.212331621912855,0.154329205817045,0.574079146195991,0.172993994011346,0.164450556371107,0.255461190347625,0
