"","hamlet11","hamlet17","hamlet22","hamlet25","hamlet31","hamlet41","hamlet59","hamlet67"
"hamlet11",0,0.382035079794388,0.256171960637011,0.221443923505741,0.36586981254038,0.322499604870667,0.20575642427501,0.434776453115533
"hamlet17",0.382035079794388,0,0.368793502257924,0.290093816766679,0.343830829112556,0.335028962389482,0.285802169513076,0.215080540536227
"hamlet22",0.256171960637011,0.368793502257924,0,0.291570924795022,0.319138846409371,0.271617482329296,0.211277859641596,0.405982131993974
"hamlet25",0.221443923505741,0.290093816766679,0.291570924795022,0,0.328527896932341,0.27671483345655,0.190034253802853,0.378045817587643
"hamlet31",0.36586981254038,0.343830829112556,0.319138846409371,0.328527896932341,0,0.248305987494487,0.275278884299443,0.382697915100842
"hamlet41",0.322499604870667,0.335028962389482,0.271617482329296,0.27671483345655,0.248305987494487,0,0.261276980192993,0.36864638806305
"hamlet59",0.20575642427501,0.285802169513076,0.211277859641596,0.190034253802853,0.275278884299443,0.261276980192993,0,0.357609323030343
"hamlet67",0.434776453115533,0.215080540536227,0.405982131993974,0.378045817587643,0.382697915100842,0.36864638806305,0.357609323030343,0
