"","buddy11","buddy16","buddy44","buddy46","buddy48","buddy50","buddy56","buddy57"
"buddy11",0,0.789546466038455,0.633416897165411,0.699648130207895,0.65136524663208,0.672913011487483,0.670232223384133,0.632590844531427
"buddy16",0.789546466038455,0,0.847679267559725,0.858009468175258,0.81863874891332,0.845337939438837,0.882422477190427,0.853546035758592
"buddy44",0.633416897165411,0.847679267559725,0,0.572325101263862,0.650837648926283,0.600921526309672,0.694710970021736,0.527455567886265
"buddy46",0.699648130207895,0.858009468175258,0.572325101263862,0,0.614458075757277,0.627018786758017,0.613529843378768,0.679159460727573
"buddy48",0.65136524663208,0.81863874891332,0.650837648926283,0.614458075757277,0,0.63006084352171,0.643111927702955,0.569952716987115
"buddy50",0.672913011487483,0.845337939438837,0.600921526309672,0.627018786758017,0.63006084352171,0,0.613542554492489,0.627008117495687
"buddy56",0.670232223384133,0.882422477190427,0.694710970021736,0.613529843378768,0.643111927702955,0.613542554492489,0,0.673834154073204
"buddy57",0.632590844531427,0.853546035758592,0.527455567886265,0.679159460727573,0.569952716987115,0.627008117495687,0.673834154073204,0
