"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.000142857142857143	0.000142857142857143	0.00414285714285714	0.000428571428571429	0.000714285714285714	0.000428571428571429	0.000428571428571429	0.000714285714285714	0.00128571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0	0.000142857142857143	0.00371428571428571	0.000285714285714286	0.001	0.000428571428571429	0.000285714285714286	0.000714285714285714	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.00142857142857143	0.000571428571428571	0.000428571428571429	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000285714285714286	0.001	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000857142857142857	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.00114285714285714	0.000714285714285714	0.000142857142857143	0.002	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0	0.000142857142857143	0.002	0.000714285714285714	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00114285714285714	0.000142857142857143	0.000571428571428571	0	0.000714285714285714	0	0.000428571428571429	0.002	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0	0.000142857142857143	0.00328571428571429	0.000285714285714286	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.000571428571428571	0	0.000285714285714286	0.000142857142857143	0.00128571428571429	0.000285714285714286	0.000285714285714286	0.00142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.000428571428571429	0.000285714285714286	0.000428571428571429	0	0.000428571428571429	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.000285714285714286	0.000142857142857143	0	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.00157142857142857	0
