"","henry29","henry36","henry42","henry48","henry59","henry66"
"henry29",0,0.676290012112914,0.670963841091931,0.599822061706613,0.708864962623349,0.542536195371153
"henry36",0.676290012112914,0,0.680340579608321,0.685900944622092,0.690355522946981,0.701109947413764
"henry42",0.670963841091931,0.680340579608321,0,0.683621062939788,0.721131371414232,0.686223128679596
"henry48",0.599822061706613,0.685900944622092,0.683621062939788,0,0.64679153355156,0.612380697341297
"henry59",0.708864962623349,0.690355522946981,0.721131371414232,0.64679153355156,0,0.684814980293237
"henry66",0.542536195371153,0.701109947413764,0.686223128679596,0.612380697341297,0.684814980293237,0
