"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter asburiae"	0	0	0.008	0.00657142857142857	0.00342857142857143	0.001	0	0	0.0672857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00871428571428571	0.00357142857142857	0.0135714285714286	0.0131428571428571	0.00928571428571429	0.011	0.011	0.00942857142857143	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0132857142857143	0.00242857142857143	0.0142857142857143	0.00957142857142857	0.01	0.0165714285714286	0.00928571428571429	0.00485714285714286	0.003
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salyersiae"	0.000571428571428571	0.00457142857142857	0.00385714285714286	0.00585714285714286	0.0172857142857143	0.0224285714285714	0.00571428571428571	0.00971428571428571	0.00528571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasihormaechei"	0	0	0	0	0	0	0.0718571428571429	0.000285714285714286	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.001	0.00357142857142857	0.00871428571428571	0.00657142857142857	0.0165714285714286	0.00857142857142857	0.00885714285714286	0.00742857142857143	0.00514285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0.00714285714285714	0.002	0.00157142857142857	0.00385714285714286	0.00785714285714286	0.00971428571428571	0.00271428571428571	0.01	0.0205714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00714285714285714	0.00342857142857143	0.00328571428571429	0.00857142857142857	0.00942857142857143	0.00685714285714286	0.00471428571428571	0.00585714285714286	0.0138571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00657142857142857	0.00242857142857143	0.00714285714285714	0.00914285714285714	0.00871428571428571	0.0132857142857143	0.006	0.00342857142857143	0.00371428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.00114285714285714	0.00528571428571429	0.0184285714285714	0.0135714285714286	0.00385714285714286	0.00128571428571429	0.00471428571428571	0.007	0.00185714285714286
