"","grogu22","grogu36","grogu37","grogu41","grogu45","grogu50","grogu56","grogu70"
"grogu22",0,0.647959553798697,0.603154387372342,0.634084469182126,0.799187365011056,0.633161583409726,0.560175793474766,0.588682866255707
"grogu36",0.647959553798697,0,0.65916128958792,0.411163355899784,0.802852780633064,0.728683988703704,0.598803024561015,0.568624285571418
"grogu37",0.603154387372342,0.65916128958792,0,0.675722342830963,0.75398511750609,0.637062982015399,0.622279362626271,0.638215188936909
"grogu41",0.634084469182126,0.411163355899784,0.675722342830963,0,0.805450990205776,0.670995663068891,0.608276040848604,0.555426055818279
"grogu45",0.799187365011056,0.802852780633064,0.75398511750609,0.805450990205776,0,0.73548760942084,0.76482357059901,0.780230472432555
"grogu50",0.633161583409726,0.728683988703704,0.637062982015399,0.670995663068891,0.73548760942084,0,0.573573715519072,0.65494504036438
"grogu56",0.560175793474766,0.598803024561015,0.622279362626271,0.608276040848604,0.76482357059901,0.573573715519072,0,0.553875526270473
"grogu70",0.588682866255707,0.568624285571418,0.638215188936909,0.555426055818279,0.780230472432555,0.65494504036438,0.553875526270473,0
