"Taxa"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"k__Bacteria|p__Firmicutes"	0.757428571428571	0.596	0.637428571428571	0.669	0.853428571428571
"k__Bacteria|p__Proteobacteria"	0.0968571428571429	0.237	0.170428571428571	0.183571428571429	0.0912857142857143
"k__Bacteria|p__Bacteroidota"	0.143285714285714	0.165428571428571	0.186714285714286	0.146142857142857	0.0342857142857143
"k__Bacteria|p__Actinobacteria"	0.002	0.000142857142857143	0.00242857142857143	0.00128571428571429	0.0208571428571429
"k__Bacteria|p__Fusobacteria"	0.000428571428571429	0.00142857142857143	0.003	0	0.000142857142857143
